发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
哲学掌柜;河南;0;1;1;2;觉得针对日本核污水排放，中国政府及外交部门不能像网民一样，只是空洞地抽象地表达情绪和态度，这只会加大社会的紧张恐惧心理。而是应加强和日本沟通，提出建设性的办法，比如能否派出科学家赴日本进行核污水检测，以及进行排放监督，另外也可以联合韩国等周边国家，和日本一道，成立有关监督组织等，针对日本污水给我国水产业造成的损失，也可与日本谈判，要求其予以赔偿。同时，不要把国人对日本核污水排放的忧虑不安情绪和反对态度，理解为一种民众的爱国动员。这和爱国没多大关系，而是切实关乎到国人的经济和安全利益，切实是民众内心的焦虑，因此，应从这种实际出发，采取相关措施，给民众以切实的利益维护，让民众安心，尽可能减少日本核污水排放给我国带来的负面损失。;;698;厦门彭彭彭于晏;福建;谴责;2023-09-01 03:42:09;0;0.0296267754921066;0
云鱼落;江苏;0;24;2;1623;回复始终的小匠日本排放核污水，无论是环境影响究竟多大或多小，始终都是在向大海排放有害的辐射物质。所以作为加害者的日本可以编亿预算做宣传，作为受害者的我们不能以我们的立场做宣传？我也不认同吓成这个样子，没必要；但完全不担忧，甚至认为排海没错难道不也是一种魔怔？;@始终的小匠#淼答#;37;明光建维部李建忠;安徽;选择大于努力，当你一直努力却没有结果的时，不如重新选择一下，也许选择#资深股玩陈佳佳#会更好。;2023-09-03 13:20:38;0;0.0288346241464617;0
云鱼落;江苏;0;24;2;1623;回复始终的小匠日本排放核污水，无论是环境影响究竟多大或多小，始终都是在向大海排放有害的辐射物质。所以作为加害者的日本可以编亿预算做宣传，作为受害者的我们不能以我们的立场做宣传？我也不认同吓成这个样子，没必要；但完全不担忧，甚至认为排海没错难道不也是一种魔怔？;@始终的小匠#淼答#;19;落叶归根Pi;浙江;你好，看你也关注了财经，是股友吗？;2023-09-01 10:47:33;0;0.0288346241464617;0
小鱼且淘淘;山西;0;0;3;5;今日感想爱好真的不能当工作，我现在看到各个美妆品牌都想把它们创飞，丝毫没有购买欲感想日本排放核污水真的会恶有恶报，资生堂从的日销售额真的锐减至感想工作真的让人烦躁，从明天起每天都想一想赚钱不累的方式;;45;pre嗯嗯怪;天津;感想3⃣️想到了一定记得告诉我;2023-09-02 12:44:33;0;0.014202395199519;0
小鱼且淘淘;山西;0;0;3;5;今日感想爱好真的不能当工作，我现在看到各个美妆品牌都想把它们创飞，丝毫没有购买欲感想日本排放核污水真的会恶有恶报，资生堂从的日销售额真的锐减至感想工作真的让人烦躁，从明天起每天都想一想赚钱不累的方式;;45;小鱼且淘淘;山西;哈哈哈好滴，有福同享na;2023-09-02 14:05:08;0;0.014202395199519;1
小鱼且淘淘;山西;0;0;3;5;今日感想爱好真的不能当工作，我现在看到各个美妆品牌都想把它们创飞，丝毫没有购买欲感想日本排放核污水真的会恶有恶报，资生堂从的日销售额真的锐减至感想工作真的让人烦躁，从明天起每天都想一想赚钱不累的方式;;71;鸭大丫大鸭;山西;饱饱快回来，我好想你;2023-09-01 10:26:13;0;0.014202395199519;0
李苦舟;河南;0;2;2;21;月日，日本农林水产大臣野村哲郎在记者会上不小心说漏了嘴，没有按照日本宣传的口径将福岛核电站排放的核污水说成是“处理水”，而是直接说成是核污水，被迫公开道歉。;;3;卧汁卧鱼;北京;就是这么掩耳盗铃，指望他们好好处理核污水简直做梦;2023-09-01 09:04:55;5;0.0454276639367619;0
李苦舟;河南;0;2;2;21;月日，日本农林水产大臣野村哲郎在记者会上不小心说漏了嘴，没有按照日本宣传的口径将福岛核电站排放的核污水说成是“处理水”，而是直接说成是核污水，被迫公开道歉。;;87;Doudemoiino;北京;服了[摊手];2023-09-01 08:46:04;1;0.0454276639367619;0
蜗牛驮着大肥象;福建;0;0;3;15;如果发现排放不符合标准，我们将采取军事行动来解决日本核污水排海问题？求证如果是真的，我绝对支持;;181;RobortGTR;江苏;扯，大鹅是猛，但不莽。;2023-09-01 07:34:06;1;0.0365370672827714;0
蜗牛驮着大肥象;福建;0;0;3;15;如果发现排放不符合标准，我们将采取军事行动来解决日本核污水排海问题？求证如果是真的，我绝对支持;;17;之神波塞冬;其他;谣言漫天的世界;2023-09-01 16:33:58;1;0.0365370672827714;0
