发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
雪里掺着的糖分;山西;0;0;1;5;室友：日本排放核污水我现在看动漫都不敢光明正大的看了;;225;脆脆脆脆1;山西;哈哈哈哈哈哈哈哈;2023-09-12 22:53:08;1;0.03970910168724;0
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;虾爆鳝拌川加腰花;浙江;这群人同时还支持乌克兰，你说巧不巧[doge];2023-09-12 22:55:36;726;0.0481844304403463;0
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;问天1274;陕西;我在乌克兰信使评论区评论了个乌克兰必败，然后有人看到了我头像就破防了，让我换头像（他喵的他谁呀？我凭啥听他的？）[嘻嘻][嘻嘻][嘻嘻];2023-09-16 17:16:55;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;大女人顺其自然-732016;上海;实际上吃核食的也是他们[doge];2023-09-13 15:59:03;4;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;香jio人丁丁;江苏;回复@AJALLEN7:评论精选是保护美苟，我说的话十句有八句被wb清理了，咱们去贴吧试试，给美苟木琴骂出脑出血来;2023-09-13 12:25:08;2;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;深蓝月空;江苏;回复@负的日月湖:你脑子也被核污水灌满了;2023-09-13 11:13:39;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;我是翻斗花园胡图图_;其他;回复@小小da59:你忘了女权[doge];2023-09-13 10:25:04;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;沉默的jaja;香港;回复@负的日月湖:這種洗手段也拙劣了，700億白花了;2023-09-13 10:11:51;2;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;DRAXING;福建;回复@负的日月湖:这不是脑残是啥;2023-09-13 09:08:54;1;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;桃成蹊199409;福建;回复@负的日月湖:什么车轱辘话啰啰嗦嗦，这种人按字数领狗粮吧;2023-09-13 08:40:57;2;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;美勾遍地跑;浙江;回复@负的日月湖:当年武汉还放调查团进来了呢，怎么没见他说;2023-09-13 08:33:28;3;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;AJALLEN7;广东;回复@负的日月湖:博主已开启评论精选[doge];2023-09-13 08:09:23;4;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;顺从本心;其他;太明显了;2023-09-13 07:34:15;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;负的日月湖;浙江;图片评论 http://t.cn/A6OSa3JX;2023-09-13 06:53:53;20;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;小小da59;北京;乌克兰还撑港毒、暴徒、废青、曱甴[开学季];2023-09-13 01:27:48;54;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;8;今生不遇的海;河南;破案了;2023-09-12 23:20:08;8;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;253;茶酽花浓一蓑烟雨;其他;心里没鬼，还能叫小鬼子吗？;2023-09-12 22:49:02;365;0.0481844304403463;0
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;高龄伪青年;北京;这话题其实就一句话，如果无害日本留着自己用不好吗？就一句话说明白的事。;2023-09-12 22:55:40;231;0.0481844304403463;0
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;一位风尘仆仆的智者;浙江;已经戒海鲜了[允悲]日本人自己吃吧;2023-09-13 06:53:24;1;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;AmuPRK;其他;回复@李成41195 ：你也有摩尔多瓦的困惑吗;2023-09-13 06:45:09;0;0.0481844304403463;1
