用户名;评论内容;评论时间;IP属地;帖子账号粉丝数;一级账号粉丝数;评论属地;评论点赞数;发布时间;链接;发布者;评论数;点赞数;转发数;文本;发布者;评论文本;标记
Jay-Jay Feeney;WOW, thank you SO much for your donations. This is epic. I promise I will be reporting from the trip when we go (aiming for January at this stage). Stephen is very entertaining so we will re-pay you in laughs and good feels!;2024-06-18T23:42:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Tania Alexander;Done ✔️ ✈️ 🏀;2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Nene Weenie;Omg Stephen from Dunedin 💞;2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Selina Nelson;Oh I remember Stephen from Dunedin!;2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Tash Bambry;"He does such great work at the Edgar Centre so our kids can play sport. If all Dunedin families that utilise this facility gave even a $1 he would be there!!!
Good stuff Jay-Jay Feeney we will ensure the goal is met! 💛💙";2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Kym Zelton;"Omg Jay-Jay Feeney what a kind fantastic thing you & Dom are doing.
Very very kind hearted of you both";2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Jody Minn Zimmerman-thompson;Done.;2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Teree Jade;I remember Stephen from Dunedin! Awesome you guys are doing this for him🧡;2024-06-18T23:14:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Staci Law;"I miss hearing Stephen from Dunedin on The Edge!

Just thinking back, you guys sure did provoke and love on him simaltaneously over the years, always good banter and laughs.

Such an incredible thing to help him achieve 💕";2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Kylene Soar;What a cool idea and nice of you guys to do that for him, looks like you are halfway there with donations that’s awesome;2024-06-18T23:44:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Bronwyn Watters-Bell;Bless him.... I remember those days! Gosh its coming up to 20 years almost! Hope he gets his dream.;2024-06-18T23:08:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Michelle Wood;i love that you and Dom Harvey are going to take him! can’t wait for updates on the trip once it happens !;2024-06-18T23:05:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Mel Maclean;Is he talking to Dom again these days 🤣;2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Aleisha Campbell;Done ✔️what an awesome thing you and Dom are doing 💖;2024-06-18T23:00:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
Emma Medway-Smith;Done, I love this idea for Stephen;2024-06-18T23:35:00;;;;;;2024-06-19T08:34:28;https://facebook.com/story.php?story_fbid=pfbid029B8T2JGu7DAfqsN8oK2AnM3YDGXWem2Jx3QYmuKuBNarM9HTZqcWtAAKSptt6J6tl&id=100044582072702;Jay-Jay Feeney;52;503;22;"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";Jay-Jay Feeney;;0
