文本;真实一级评论数;真实点赞数;边数;最大边数;集群密度
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
"Ok Fam, I'm calling on those of you who get a kick out of helping others....

My good friend and long-time fan, Stephen from Dunedin is turning 50 in November. His life long dream is to see an NBA game in LA, so Dom and I are going to take him.
We are paying for ourselves, of course, but Stephen is trying to raise his share of the costs.
He has done a lot for Otago sport and he has helped us a lot over the years on the radio, especially when I was at the Edge, he used to stand for HOURS all day, everyday, outside our Jingle Bail cell and collect money for deserving kids to go on their own trip of a lifetime.

Do you want to help Stephen with his birthday wish? It would mean a lot to both of us.
No pressure, but if you like to give a little, please click here:";52;503;555;12768;0.043468045112781954
