标题;发布者;发布时间;观看数;urls;视频时长
龙潮唱片｜《归龙潮》更名印象曲正式上线！;归龙潮;· 6-16;105.5万;https://www.bilibili.com/video/BV1zs4y1y7iA/;03:02
《归龙潮》实机PV首曝——新的驰途始于谢幕之后;归龙潮;· 2022-12-9;694.4万;https://www.bilibili.com/video/BV1RK411X7CY/;02:03
归龙潮的这个湖北吖口音绝了;猪肚鸡得加鸡;· 11-22;411;https://www.bilibili.com/video/BV13M411f7iC/;01:04
国风暴力美学！斩男又斩女！;一只宅小南;· 4-1;19.6万;https://www.bilibili.com/video/BV1es4y1U7uw/;01:14
《归龙潮》| BW2023 开机宴影像留念;归龙潮;· 7-25;6.6万;https://www.bilibili.com/video/BV1N94y1v7A6/;02:22
归龙潮·王朝1982｜强中自有强中手，山外青山楼外楼｜歌词排版;大大澄将军;· 6-17;24.8万;https://www.bilibili.com/video/BV11o4y177sV/;03:04
这是我见过最契合成龙历险记bgm的游戏pv;问雁SAMA;· 2022-12-11;100.9万;https://www.bilibili.com/video/BV1VM411U7Tn/;00:49
一款属于国人的潮流游戏🌹;慕斯饼干;· 11-19;935;https://www.bilibili.com/video/BV1mw411H7Uy/;01:05
💖醉笙💖黑丝旗袍大姐姐 谁人不爱呢💖;生书意亦书生;· 11-25;140;https://www.bilibili.com/video/BV1pu4y1w7Hc/;03:19
这么帅的老公，你确定不玩;戚宴8356;· 12小时前;9;https://www.bilibili.com/video/BV1bv411F74D/;00:13
正太版《归龙潮》！从来本领无师自通！嗨起来了！;子凌弈秋;· 6-17;6714;https://www.bilibili.com/video/BV1SX4y147Bm/;03:02
戏腔摇滚一首拿捏《归龙潮》正气大爆发💥【莱恩X百斯拉】;百斯拉_Hundreds;· 7-28;1.7万;https://www.bilibili.com/video/BV1PX4y1J7TK/;02:57
【鬼灭之刃×归龙潮联动决定！（bushi】醉笙到位，无惨干碎！;是喵芋;· 6-18;1175;https://www.bilibili.com/video/BV16j411X7uf/;01:15
归龙潮（唐刀版MV）——王朝1982，字幕排版：@大大澄将军@王朝1982;少焱Fans;· 6-30;4135;https://www.bilibili.com/video/BV1GM4y177vF/;02:56
【归龙潮】全面玩法展示解析⚡23年超惊喜 横版跑酷战斗手游;荏沙er;· 4-3;7093;https://www.bilibili.com/video/BV1xj411w7LJ/;04:45
打败赛博朋克的只有国风赛博，好期待公测哈！ #归龙潮 #二次元 #国风 #赛博朋克;归龙潮情报处;· 11-25;151;https://www.bilibili.com/video/BV1fu4y1w7D1/;00:45
疯 批 国 风 说 唱;道雀Bzz;· 6-20;6.2万;https://www.bilibili.com/video/BV1EP411q7wd/;03:01
【procreate】摸摸女儿;Haru_沢沢沢;· 8-13;8454;https://www.bilibili.com/video/BV1i44y1c768/;04:51
什么？终于要上线了？一起期待吧;花辞树boba;· 11-26;134;https://www.bilibili.com/video/BV1rj411L7Z6/;00:57
[粉猴COS天团]BW2023 归龙潮 | 你肯定在现场看到了这些绝美小哥哥小姐姐;粉猴COS天团;· 7-26;1096;https://www.bilibili.com/video/BV1ak4y1V7e9/;01:10
【归龙潮x双刀】周杰伦全球巡回演唱会九龙城站现场录像;鱼糕_Serendipity;· 6-3;8.3万;https://www.bilibili.com/video/BV1vs4y1i7Lf/;01:27
【归龙潮MMD】 ★天黑人容易犯錯 屋頂會着火★ | 醉笙;赛博逃难同人钕;· 11-24;4637;https://www.bilibili.com/video/BV1ba4y1Z7TS/;03:34
【归龙潮】你敢信这就是一个游戏的pv预告！;阿德预告ZJP;· 10-28;278;https://www.bilibili.com/video/BV1vQ4y1W7Dw/;00:32
醉笙 太 香 啦;dtno7;· 22小时前;43;https://www.bilibili.com/video/BV1ye411f7kE/;00:31
【暗号：瞳/归龙潮】暗号瞳首测 极致画质 主线剧情一、二章 手机录屏粗剪;四季柑橘;· 4-1;1758;https://www.bilibili.com/video/BV1zh41137iB/;02:12:49
【MMD归龙潮】醉笙❤;兰月Ranruie;· 11-24;353;https://www.bilibili.com/video/BV1jC4y127uU/;00:15
【眼睛要鸟鸟了】最新视频上线，求关注！;眼睛要鸟鸟了;· 11-25;2;https://www.bilibili.com/video/BV1NN4y1U79e/;00:53
这游好像还没公测……;尘嚣少主请入碗;· 7-13;570;https://www.bilibili.com/video/BV1e8411U77y/;04:03
逛BW 踩BT;摄影师大元;· 7-25;220.5万;https://www.bilibili.com/video/BV1qu4y1U7C9/;04:07
*超燃打戏*【一人之下】【归龙潮】;秉游lim;· 6-30;1281;https://www.bilibili.com/video/BV1ts4y1k7ss/;01:15
好霸气的怪物你爱了吗？;小叶游戏呀;· 11-26;171;https://www.bilibili.com/video/BV1nQ4y1t72k/;00:14
什么女角色啊！弄得一四川人现在看见辣椒腿都发软？！;四川猛男老圆;· 4-12;20.8万;https://www.bilibili.com/video/BV1kT411W7BL/;04:24
和朝哥 @王朝1982 为游戏@归龙潮 演唱的同名主题曲「归龙潮」来了！视频制作：布吉小红红;朱旭BooBoo;· 6-19;8.5万;https://www.bilibili.com/video/BV18k4y1M7tb/;00:21
归龙潮【道长】cover王朝1982;六弦道士;· 6-18;401;https://www.bilibili.com/video/BV1SV4y1174j/;01:27
【归龙潮x唢风吟】龙行踏绛气，腾跃怒潮来;啾也君;· 5-31;8.6万;https://www.bilibili.com/video/BV1Nh4y1d7UU/;01:24
▷BW2023◁归龙潮映像曲现场唢呐萨克斯版;天神下饭のt;· 7-23;220;https://www.bilibili.com/video/BV1Wh4y1y7th/;02:29
;;;;https://www.bilibili.com/video/BV1Zh4y1g7Kv/;
;;;;https://www.bilibili.com/video/BV1Ta4y1f7BX/;
;;;;https://www.bilibili.com/video/BV1NX4y1k7xa/;
;;;;https://www.bilibili.com/video/BV1Bj411Z7um/;
;;;;https://www.bilibili.com/video/BV18w411P7zr/;
;;;;https://www.bilibili.com/video/BV1HV4y1Q7A8/;
“谁不想和大大的小姐姐一起跑酷呢？”;烽火湛蓝;· 6-18;14.6万;https://www.bilibili.com/video/BV1Zh4y1g7Kv/;01:46
当帕尔马露出真容！;就要吸粉条;· 10小时前;14;https://www.bilibili.com/video/BV1Ta4y1f7BX/;00:08
【暗号瞳首测】试映测试试玩2（太大了分不了p了）【归龙潮】;打卡抽奖区UP;· 4-1;1772;https://www.bilibili.com/video/BV1NX4y1k7xa/;01:09:17
崩坏三x归龙潮;故里如梦人生如戏;· 7-12;612;https://www.bilibili.com/video/BV1Bj411Z7um/;02:51
#归龙潮 #长命锁 ：来感受下方言的魅力吧~😍;指尖上的-月光;· 11-25;84;https://www.bilibili.com/video/BV18w411P7zr/;00:30
【暗号瞳】【归龙潮】主线一;我們都爱哈梅尔;· 3-31;1.5万;https://www.bilibili.com/video/BV1HV4y1Q7A8/;25:08
《归龙潮》九龍新春会 | 来自「狮子区」拂云的新春祝福;归龙潮;· 1-22;12.8万;https://www.bilibili.com/video/BV1VT41127BT/;00:49
虽是真龙也非我的对手，顺势腾空却坠波折北斗;浩然正气-名不见经传;· 6-18;245;https://www.bilibili.com/video/BV1KP411q7hQ/;03:00
归龙潮/暗号瞳一测满级全角色图鉴预览（自存）;香辣鸡腿堡来一份;· 4-2;1.4万;https://www.bilibili.com/video/BV1624y1j7iJ/;08:49
谁让你们入戏这么深的？懂了，玩归龙潮玩儿的！;游机少年Sun;· 10-14;344;https://www.bilibili.com/video/BV1Gy4y1N7Us/;01:12
【黄海冰7.23生贺】生辰十二时辰丨归龙潮丨未时;澜澜澜玦丶;· 7-23;484;https://www.bilibili.com/video/BV1qc411c7it/;01:13
黑镖客教你让猛男叫爸爸;黑镖客梦回;· 4-14;92.2万;https://www.bilibili.com/video/BV1ZM4y1C73f/;11:01
我特么现在就要当导演！尖锐爆鸣声*;是玖欸嘿;· 11-19;4;https://www.bilibili.com/video/BV1kb4y1M7ZD/;00:13
归龙潮现场教学舞龙片段;巴格HerbertBagge;· 7-21;539;https://www.bilibili.com/video/BV1kj411o7gD/;03:12
归龙潮;俺响出去玩;· 8-5;261;https://www.bilibili.com/video/BV1cM4y1p718/;00:31
姐姐我可以！！国潮风新游【暗号瞳】首测！;软懵;· 4-11;6545;https://www.bilibili.com/video/BV1Ma4y1N7zD/;09:51
英雄篇：醉笙~🙌;指尖上的-月光;· 13小时前;2;https://www.bilibili.com/video/BV1n94y1n7iT/;00:12
成女赛高;解不开的心劫;· 15小时前;8;https://www.bilibili.com/video/BV17a4y1f7wf/;00:11
热门二次元横版都市玄幻动作手游！！;热游阿呆;· 11-23;166;https://www.bilibili.com/video/BV1VM411f7DB/;01:03
【游圈那些事-第十三期】二游特色，排队公测！骨王雾境序列铃兰之剑接连上线;仁菜和尹哒;· 11-24;3008;https://www.bilibili.com/video/BV1uc411z7Dz/;08:15
「归龙潮-将离」不织布 | 买不到周边的人只能自力更生;川轻厘;· 7-21;340;https://www.bilibili.com/video/BV1iX4y1J7rB/;01:09
