文本;群体情绪;时间
珠海警方通报驾车撞人重大恶性案件：35人死亡，43人受伤，原因初步查明：嫌疑人对离婚后财产分割结果不满而引发#珠海汽车撞人致35死43伤;0.22440592424176414;2024-11-14 11:09:32
广东省省长王伟中看望慰问珠海市驾车冲撞行人案件中受伤人员;-0.08434672646135148;2024-11-14 12:05:23
天呐，这是有多大仇，开车来回撞？;-0.004923661683566406;2024-11-14 12:06:18
11.10广东开平连撞8人惨烈事件，现场一片狼藉，太可怕了;0.011225918404286633;2024-11-14 12:19:37
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤;1.0;2024-11-14 13:41:04
现在这个社会还有人在赌对方不敢撞。;0.007146499259014236;2024-11-14 14:39:51
警方通报珠海发生一起驾车冲撞市民重大恶性案件，致35死43伤;0.5205706092203775;2024-11-14 15:32:36
最高检谈珠海驾车冲撞行人案件：从重从严追究刑事责任;0.25957026414266654;2024-11-14 16:09:40
珠海驾车冲撞行人案件，伤者正在全力救治;0.019925935075009008;2024-11-14 17:08:07
我以为只有电影中才有这种情节， 原来现实也可以这么干了， 胆真大！可真刑啊！;-0.07007905190124998;2024-11-14 17:53:45
突发！揪心!珠海体育中心小车冲撞多人，62岁逃逸司机被抓#珠海警方通报汽车在体育中心撞人;0.007395874431434193;2024-11-14 17:59:00
驾车冲撞行人现场5死48伤！;0.00956309298492932;2024-11-14 21:45:49
公安部：迅速查明珠海驾车冲撞行人案件，依法严惩凶手;0.01054364369484258;2024-11-14 22:34:06
男子开越野车 在闹市区横冲直撞 警民奋力堵截砸车;-0.0008303959326492912;2024-11-14 22:34:40
"11月13""广东越秀""小孩偷拿奶茶店东西喝，店员让其母亲买单被拖拽欧打，保安大叔救场被咬事后女子从包拿出水果刀。";-0.010274018984539121;2024-11-14 22:39:37
卧槽！人头分离死亡，殡仪馆抬人脑袋不慎滚落！;0.005543227151803758;2024-11-15 01:20:00
珠海警方通报体育中心小汽车撞人事件，62岁撞人司机已被控制;-0.029749227875583577;2024-11-15 04:26:30
通报：珠海驾车冲撞市民重大恶性案件造成35人死亡，43人受伤;0.006763168476286658;2024-11-15 11:02:37
珠海警方通报 男子驾车冲撞市民恶性案件：35人经抢救无效死亡;0.19739411619691494;2024-11-14 08:17:16
公安部：依法严惩珠海市驾车冲撞行人案件凶手，总结推广“红枫义警”，“朝阳群众”等好经验;0.28577842419387733;2024-11-14 09:48:42
香港出租车司机嘲讽内地女孩，没想到对方太社牛，直接把司机怼上天：司机最后直接破防，急得要她们说广东话交流…;0.4673345676857376;2024-11-14 11:07:48
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤。;0.01861505618301564;2024-11-14 13:01:31
11.14张家口女子坠楼身亡事件，人头分离死亡，殡仪馆抬人脑袋不慎滚落！;-0.005929983819924664;2024-11-14 13:33:53
珠海驾车冲撞市民重大恶性案件造成35人死亡，43人受伤;0.14633776879024155;2024-11-15 02:50:22
11.14河北张家口妹子坠楼身亡事件，抬尸不慎脑袋掉地，现场完整版;0.00025676999291491295;2024-11-15 02:53:23
珠海新闻20241111;0.003128319080894343;2024-11-15 03:36:11
愿珠海平平安安;-0.006950732635601467;2024-11-15 05:09:30
马路当健身房，男子当场惨叫没了动静，家属崩溃;-0.011642369848985794;2024-11-15 06:52:52
今日凌晨，广西横州市发生一起交通事故致4人死亡;-0.0029620553064311425;2024-11-15 08:22:40
电哥：11.11 珠海航展震惊世界。;0.02743875283171763;2024-11-15 13:52:40
珠海中院现状;0.04670971938658112;2024-11-15 14:57:41
挖槽！鬼火少年飙183逆行刚货车，当场死无全尸;-0.012410833567665902;2024-11-15 15:09:31
看着都疼！骑士这一顶，油箱凹了自己下面也碎了;-0.012666169208607192;2024-11-15 10:36:20
广州特放：惯犯？偷奶茶小孩妈妈另2次偷盗监控曝光【特放002期】;0.03316585676415368;2024-11-15 11:28:50
台湾网红逛珠海航展喊话于北辰，句句诛心！;0.5199833557468028;2024-11-15 12:08:50
广东珠海体育中心;0.0009618159442453065;2024-11-15 13:25:40
什么事那么急;-0.0010380006721430225;2024-11-15 14:03:20
燃爆了！细数珠海航展“名场面”;0.0005116263416505675;2024-11-15 14:22:24
珠海市驾车冲撞行人案件伤者正在全力救治;-0.00041366095397397045;2024-11-15 15:35:58
女子与黑车司机发生冲突，猛踹黑车，不料司机直接将她“撞成饼”;0.0026327951842844708;2024-11-15 16:14:48
今年的珠海航展为什么异常的火爆？;0.010135400676636163;2024-11-15 16:18:21
珠海警方通报“一男子驾车撞倒多名行人后逃逸”：司机已被控制;0.008348196006108493;2024-11-15 16:29:15
珠海新闻20241112;-0.001378869774404628;2024-11-15 16:33:09
熊孩子作死摆拍秀车技，当场悲剧抽搐翻白眼，太可怜了！;0.019646932390999895;2024-11-14 03:19:51
2024. 11.12 广东珠海学校现状;0.007064293480069583;2024-11-15 02:46:36
杭州一小型客车连撞多人致1死4伤 肇事者已被控制 原因太离谱;-7.050631085876625e-05;2024-11-13 10:43:18
咋不按暂停键;-0.010341653304888395;2024-11-14 15:16:33
美女闯红灯被撞惨了【安全警惕】;-0.004408546803945909;2024-11-15 01:52:49
1339期：骑车撞了没受伤，却因争吵被活活气死！;-0.13860512814658776;2024-11-15 12:42:32
珠海公安通报：一辆小汽车在珠海市香洲区体育中心撞倒多名行人后驾车逃逸。司机樊某(男，62岁)已被警方控制;0.014136889447565307;2024-11-15 15:30:55
11.12温州妹子晾衣高楼坠落挂树事件，现场完整版，太吓人了;-0.019574619647972927;2024-11-15 16:06:17
珠海航展！各方军方代表都来参展了，索马里竟然也来了！那么问题来了，准备了一桌菜 来了两桌人，怎么卖？;0.021480582760995893;2024-11-13 04:03:51
货车司机儿子炮轰劳斯莱斯车主团队：受不了舆论，想重新走保险;-0.045811922217355555;2024-11-13 10:18:43
老头一直骂外卖小哥以为不敢打他，下一秒躺地上了！;-0.0010476321789878132;2024-11-13 11:46:39
珠海航展见闻，真的失望;-0.003950995043276222;2024-11-13 11:54:32
