发布时间,url链接,发布者(帖子发布者),IP属地,帖子账号粉丝数,转发数,评论数,点赞数,文本,话题,一级账号粉丝数,用户名（评论用户）,评论属地,评论内容,评论时间,评论点赞数,标记（0代表一级，1代表二级）
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,广东,一般来说，离异财产分配不均的不会这样发疯报复社会，都是针对性的。而因为其他压力而如此报复社会的，他又选错了报复场地和人群。[失望R][失望R][失望R],2024-11-12 16:00:17,103,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,广东,为啥感觉没啥热度，跟发了个通知一样,2024-11-15 07:39:36,55,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,广东,我就是珠海的一名初中生，当天晚上我们几个好朋友想一起约去体育中心跑步，当时一个同学的雨伞不见了大家就都在帮忙找，所以在案发后暂停了去跑步的计划[哭惹R]不知道早点去的话会怎样[哭惹R],2024-11-14 15:34:38,88,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,广东,@『大海』 [石化R],2024-11-15 16:04:29,0,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,湖南,@养只逻辑猫 [石化R][哭惹R][哭惹R][哭惹R],2024-11-15 14:28:55,0,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,广西,为什么我网上找不到任何信息啊 只能在这里找到零星[笑哭R][笑哭R][笑哭R],2024-11-15 14:01:05,4,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,北京,因为回答了这个问题，我知乎号都被封了[微笑R],2024-11-14 15:31:55,16,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,江西,我就想知道凶手就不晓得后果是死刑？,2024-11-13 08:18:53,11,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,江苏,虽然很难过 但这种事以后会越来越多,2024-11-15 13:04:46,1,0
2024-11-12 12:13:54,https://www.xiaohongshu.com/explore/67334682000000001b029568?xsec_token=AB8Awd1Iww05bMbIIYTd8Qt_R7DZbXfps0YUlxhHBAnR8=&xsec_source=pc_search,俊山爱科技,河北,,,175,303,"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。","珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院",,,河南,都没热度，我还是从别的评论区转来才搜到,2024-11-15 12:01:41,1,0
