评论属地,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总平均值
上海,-0.40355976584715614,-0.5821394180099633,-0.3947065801549343,-0.6284811612937169,-0.5022217313264427
中国澳门,-0.9937149436946029,0.03958875824262975,-0.7869075139772512,-0.4942751521687472,-0.5588272128994929
中国香港,-0.6834830168662793,-0.10647955690865452,0.0,0.0,-0.19749064344373346
云南,-0.3061175626001873,-0.9006975684532537,-0.0010636051527515011,-0.12973751627162455,-0.33440406311945425
内蒙古,0.0,0.0,0.0,-0.9656821598591332,-0.2414205399647833
加拿大,-0.2859128380230319,0.0,-0.9831659638411021,-0.5131868441088516,-0.44556641149324644
北京,-0.5128913371861469,-0.26195531289250684,-0.325522519131123,-0.21175021614160142,-0.32802984633784454
吉林,0.0,-0.2518492266845866,-0.012472458605313489,-0.24566308040115517,-0.1274961914227638
四川,-0.2973381994463641,-0.31274480615151024,-0.5843695190139054,-0.28187459500059703,-0.3690817799030942
天津,0.20977428650169616,-0.5131650391905163,-0.24433674531903038,0.11394314130235883,-0.10844608917637291
奥地利,0.0,-0.20720670131426466,-0.9750937767090846,-0.6659540574048946,-0.46206363385706095
宁夏,0.0,-0.5807685778157655,0.0,0.0,-0.14519214445394138
安徽,-0.6339490671555812,-0.6150775294780608,-0.6647797744912151,-0.051815326605344714,-0.4914054244325505
山东,-0.6253280585471006,-0.4322040666508592,-0.41810879764149916,-0.6034077616170651,-0.519762171114131
山西,0.0,-0.42685483276119757,-0.8674379989746869,-0.89782196056135,-0.5480286980743085
广东,-0.6248113130300247,-0.3691858020578701,-0.2710981512505931,-0.10519778002436195,-0.34257326159071244
广西,-0.5490941982852867,-0.6649066599286805,-0.5525414955072953,-0.7793594137907203,-0.6364754418779957
捷克,-0.7127856687738923,0.0,0.0,0.0,-0.17819641719347307
新加坡,0.0,0.48940138246413256,0.0,0.0,0.12235034561603314
新疆,0.03622594781205435,0.0,-0.566307813321631,-0.7637803761885191,-0.32346556042452396
新西兰,0.0,0.0,0.020315035049707886,0.0,0.0050787587624269714
日本,0.45758018810074685,-0.699411803440088,0.0,0.0,-0.06045790383483529
江苏,-0.5429310898594936,-0.33730749658436426,-0.39230007335453837,-0.3825097111050465,-0.4137620927258606
江西,-0.8146091432980103,-0.16489449895769992,0.0,-0.998367801508004,-0.49446786094092854
河北,0.16629684502632758,-0.6010272581565687,-0.6599206608205557,-0.5748099613011932,-0.4173652588129975
河南,-0.707892564178584,0.09829517074990764,0.0,-0.5370242663584874,-0.2866554149467909
浙江,-0.3022077500319882,-0.37471872058786854,-0.6302778556132004,-0.43410431879293393,-0.43532716125649773
海南,0.0,-0.7075929444032113,-0.5592925557342884,-0.9105618486905103,-0.5443618372070025
湖北,-0.27852276132568643,-0.4437128542174648,-0.804164189329421,-0.5225632718056705,-0.5122407691695607
湖南,-0.3434377004422581,-0.29527710595503304,-0.5926153036325894,-0.4938633401936663,-0.4312983625558867
澳大利亚,-0.9895711040834356,-0.8561216784141403,0.0,-0.47812312953138303,-0.5809539780072397
甘肃,-0.2976771556941745,-0.7771290741302141,0.0,-0.38843528467744726,-0.36581037862545895
福建,-0.5019189369332077,-0.51860717558546,0.008169821901173149,-0.43099372101468153,-0.36083750290804395
美国,0.0,-0.4171099050568451,-0.6747041520464182,0.0,-0.2729535142758158
英国,-0.994795390296962,0.2710285948552451,0.0,0.0,-0.1809416988604292
西班牙,0.009018627010768387,0.0,0.0,-0.1325342419871247,-0.03087890374408908
贵州,0.07415603164085138,-0.3708873436934306,-0.7945517479590662,0.12103323845211933,-0.24256245538988153
辽宁,0.24458417657542775,0.0,0.10640559136275167,-0.5382396228540861,-0.04681246372897667
重庆,-0.8159538723674759,-0.19613701594866495,-0.3377833043774439,-0.7953747319259921,-0.5363122311548942
陕西,0.0,-0.6705817696564292,-0.7233421490862646,-0.019039787400408403,-0.3532409265357756
青海,-0.9849675680904668,0.0,0.0,-0.7826220349361053,-0.441897400756643
马来西亚,0.0,0.0,0.0,-0.11638435203550879,-0.029096088008877197
黑龙江,-0.15279308035591432,-0.25236991899867744,-0.8070629679435785,0.32550951715514376,-0.2216791125357566
