文本;群体情绪;时间
"补贴三胎这事，就和大学里的贫困生补助一样。政策出来最后补贴落到谁手里？上过学的都心知肚明。大学里面，拿贫困生补助，并且真的贫困的，占多少比例？

现在年轻人不原因生孩子，是缺你那几百块钱吗？且不说三胎，一胎有多少人生？搁这儿直接三胎起步？活在200年前啊？生育指数要保持2.1才算平稳发展。日本的补贴高吗？生育指数只有1.34。中国2020年的生育指数只有1.3。

不是缺那么几百块。是大环境逼人绝育的。有些不是不愿意生，工作生活压力太大就是会影响生育率的。上世纪70年代，不孕不育率是2%而2020年统计已婚夫妇不孕不育是18%。是现在的物质比50年轻更匮乏了吗？是现实逼着人绝育。一天工作12个小时以上，晚上回家xxx都没时间。会生才怪了呢。

#每月补贴1000元你愿意生二胎或三胎吗#";0.19801180930246068;2022-02-07 17:22:06
身高＋视力＋牙齿成了很多孩子的三座大山，但要是三座大山×3呢？#三胎生育政策来了#  小儿内分泌林医生的微博视频 ;0.025245302568717907;2022-02-07 17:08:08
生孩子这事，不是说生就生的，老百姓要权衡很多。 市场昨日的炒作，今天被团灭了。;1.0;2022-02-08 09:49:35
"#上海妇联回应婴幼儿被单独隔离问题#
上海凭一己之力抵抗国家三胎政策 ";-0.01965660931937545;2022-02-17 18:04:55
为了响应国家三胎政策，老张出门都骑三轮车 ;0.004910172740379625;2022-02-07 17:03:06
#上海婴幼儿隔离点#就这就这还tm鼓励三胎政策 ;-0.05175889310052707;2022-02-07 17:35:28
真诚祝愿王俊凯的女人做到不买避孕套不吃避孕药，儿孙满堂为三胎四胎五胎政策做出贡献 ;0.0005059047363045787;2022-02-07 17:21:34
#上海婴幼儿隔离点# 这就是鼓励二胎，三胎的政策？真，反向操作 ;-0.0004959280009388094;2022-02-07 19:44:07
不好意思，没怀上，没能为三胎政策出一份力 ;-0.004428397164941237;2022-02-07 17:10:32
#上海婴幼儿隔离点#气到发抖。凭什么宣传三胎政策，一个疫情防控都做的这么差！！别人一个孩子宝贝的不行却被这样对待！！！！！！！！ ;0.03695061621730087;------
"呃🤔看到大家对那个男明星爹味发言bot厌男之类的说法 其实厌男很正常
他之前发的好多有的确实让我避雷了一些人
这么说吧 一般他发十条我有六条会认同
这次配音圈的事我也不发表意见
但是我看到有人为了骂这个人 拿出国家三胎政策来讲 这个政策明明就是对女性的不公平啊 很多人都在反对 没有必要用这  ...展开";-0.01460173409664483;2022-03-01 17:37:00
"缝合怪聚集地超话 
以前学生物，种群繁衍最快比例就是一小部分公，配上大部分母。
如果出生率持续走低，会不会恢复一夫多妻呢。
毕竟现在穷哥们也找不到老婆。
就像以前，张艺谋生三胎被罚款，如果改了政策，反而是光明正大的被表扬。 ";0.019273484532669662;2022-03-05 15:18:26
再不开学我就要响应国家三胎政策了 ;0.011175338290897233;2022-03-01 19:38:35
#福建已发现6例感染者乘坐这趟动车#S海为什么不封 我是没想道我们中国也这样 之前都是吐槽外国政策，经济重要还是人口重要？现在国家政策要女人生二胎三胎 不就是先为了人口？感染的那些还会影响JZ 哪来人口 不就是一个城市吗？ 我们广州一有就封 还不是一线城市 真的无力吐槽 ;-0.034342200710624264;2022-03-01 19:10:11
我怀疑这个疫情是他妈假的，是为了响应国家的三胎政策，强制性要求你隔离在家里，让你他妈生小孩 ;0.005766217472306393;------
#威海快递# 母胎solo28年，好不容易谈了个威海的男朋友，因为男朋友过生日，生日礼物寄不过去，男朋友要跟我分手，到现在快递还不恢复，这怎么让我们响应国家三胎的政策？ ;0.10055058013711513;2022-03-08 10:06:56
"论三胎政策下，地方卫生健康局对女大学生的影响——以兔子今天秃了吗为例
两个月三次
感觉那些七大姑八大姨都没你着急 
我真的谢谢你 ";0.010724483152587377;2022-03-08 10:12:07
"就算是22了也会觉得妈妈偏心弟弟妹妹躲起来偷偷掉眼泪
真的好可恶 我讨厌三胎政策 ";0.01898695072802163;2022-03-08 10:08:07
"祺鑫超话
纯路人，他俩是在响应三胎政策吗 ";0.01534653244901086;2022-03-08 10:14:19
"#余生请多指教##肖战顾魏# 
顾魏这段求婚，可以作为求婚范本了：“我不敢保证以后我们的生活一定会一帆风顺，但是我敢保证，无论好坏，我一直都在”

配上肖战泛红的眼圈和期待的眼神，这段求婚戏真把我看哭了，能把我这个不婚主义都感动哭了。我相信，这剧对国家的三胎政策肯定颇有助益。

哭死了";0.06331666740019852;2022-03-08 10:07:16
身体欠佳一月有余，忙着看顾魏医生，药吃了不少，补品虾姐夫囤了一个月的量，前几天我突然想到了一个严重的问题“干呕，食之无味，睡眠不好，腹胀”这不是差不多“怀孕期间的症状吗？”回想起来我两个月没来月经了正在我忐忑不安的思绪里是不是已响应国家号召政策三胎的时候，昨晚顾魏医生  ...展开;0.002630938862915466;2022-03-08 10:06:52
"融创森与海地处山清水秀的浦阳地界，依山傍水，潮湿地带，明知道以后会引起墙面发霉脱落的前提下，在公共区域采用瓷砖墙面流行的趋势下，森与海却将包含在合同范围内的公摊面积的电梯间，过道等公共区域采用乳胶漆墙面。
在国家大力倡导二胎和三胎的政策下，在明知道教育是每个家庭的重中之重，大事宣  ...展开";-0.009937954259821509;2022-03-08 10:07:25
@剪川捡铲铲 这个人买娃买疯球了，大儿子还是白煮蛋，二儿子还在孕期，已经决定响应gj政策买三胎了…… ;-0.0011759432008708677;------
