文本;真实一级评论数;真实点赞数;边数;最大边数;集群密度
日本青森县政府宣布，采购县产扇贝提供给中小学供餐。青森县介绍，学校供餐将动用日本政府因福岛核污水排放设立的“应对形象受损”基金，预计向小学生和初中生约万人供应。青森县计划扩大面向台湾和泰国等地的海外销路，还要求县内外的超市和卖场扩大销售。评一句：蛤蟆结果是跟鬼子学的黄媒不会说的真相;12;76;88;9387;0.009374667092787899
事情是这样的明天要考试啦，所以我去文具店买了只中性笔，一把尺子，一块橡皮，结账的时候老板说，我惊了，就这么点东西？然后我就问了每个文具的价格，其中一支笔元，我再次惊了，一支笔这么贵了？而且也不是晨光爱好什么的，我就向老板提出了质疑老板说“看清楚了，这是斑马”我“啥？斑马？没听过”但我还是付了钱，出门后我在淘宝搜了下，竟然是日本品牌一下子无语到了，我又对了笔上的文字，确定是日本品牌，然后我就毫不犹豫返回店里退了这只笔，换了两只晨光文具真的很生气日本不顾一切往海里排放核污水这件事我永远不会原谅虽然我人微言轻，但是如果每个人微言轻的个体从拒绝一支日产笔做起，那么我相信终有一日星星之火可以燎原日本核污水排海侵犯人权核污水首轮排海结束日本现状如何日本核污水排海侵犯人权抵制日货勿伤同胞坚决抵制日本排放核污水日本计划明年月底前排放轮核污染水坚决抵制日本排放核污水;1;1;2;9387;0.0002130606157451795
日本核污水首次排海造成了哪些影响日本计划明年月底前排放轮核污染水下月启动第二轮核污染水排海，日本计划明年月底前排放约吨核污染水入海。日本核污水排海有哪些连锁反应山西共青团的微博视频;-1;0;-1;9387;-0.00010653030787258975
日本核污水排海有哪些连锁反应皮皮虾变异了？都到渤海湾了？假的日本核污水首次排海造成了哪些影响自从日本正式将核污染水排入海洋以来，各种谣言不断流传。近日，社交媒体上流传着一段视频，视频中一只皮皮虾的表面布满了密密麻麻的大疙瘩。一名男子拿起皮皮虾说道：“这是我们当地的皮皮虾，变异了，现在已经出现在渤海湾了”。经过鉴定，视频中的皮皮虾表面生长的是藤壶，这是一种节肢动物，在海洋中很常见，通常寄生在鲸鱼和海龟身上，部分也会附着在虾蟹身上。因此，并不存在皮皮虾变异的说法。最近，由于日本排放核污染水入海，海鲜等食品安全问题引起了广泛关注。对于这些问题，我们应该保持警惕，但也不必过于担忧。通过正规渠道购买的海鲜，基本上都符合国家检测标准，可以放心食用。百姓求真的微博视频;4;4;8;9387;0.000852242462980718
日本核污水排海有哪些连锁反应日本福岛核污水首轮排海结束，当地现状如何日本核污水首次排海造成了哪些影响据澎湃新闻，当地时间月日正午，日本福岛第一核电站核污染水首轮排海作业结束，总计向太平洋排出吨核污水。根据东京电力公司的计划，接下来将进行设备检查，最早将于月底开始第二轮排海，今年将分次排放万吨核污水。对于日本国内尤其是福岛当地来说，水产品的安全、销路和声誉现今如何？日本福岛核污水首轮排海结束，当地现状如何;5;22;27;9387;0.0028763183125599234
日本核污水首次排海造成了哪些影响日本核污水排海有哪些连锁反应英国小哥谴责日本排放核污水以及西方媒体集体失声，小哥：排海里就安全自己用不安全？中国网直播的微博视频;1;7;8;9387;0.000852242462980718
日本核污水排海有哪些连锁反应日民众游行抗议核污水排海日本核污水首次排海造成了哪些影响月日，日本数百名民众走上东京街头，抗议福岛第一核电站向太平洋排放核污染水。今日俄罗斯的微博视频;1;2;3;9387;0.00031959092361776926
日本核污水排海有哪些连锁反应新浪新闻头号大事件栏目第期：自月日日本核污水排海以来，已经过去了天，核污水的排放引起了国际社会的广泛关注。对于日本国内尤其是福岛当地来说，水产品的安全、销路和声誉现今如何？核污水入海已成事实，各国又采取了哪些措施？戳视频，来看展开;7;92;99;9387;0.010546500479386385
日本核污水排海有哪些连锁反应新浪新闻头号大事件栏目第期：自月日日本核污水排海以来，已经过去了天，核污水的排放引起了国际社会的广泛关注。对于日本国内尤其是福岛当地来说，水产品的安全、销路和声誉现今如何？核污水入海已成事实，各国又采取了哪些措施？戳视频，来看日本核污水首次排海造成了哪些影响。新浪新闻的微博视频;-1;92;91;9387;0.009694258016405667
日本核污水首次排海造成了哪些影响月日，日本首相岸田文雄在首相官邸举办午餐会，试吃了核污染水排放地福岛县沿海捕获的海鲜。月日，日本前环境大臣、前首相小泉纯一郎之子小泉进次郎推出“新招”，在福岛县海岸冲浪，以展示“排海安全性”。如何看待日本首相和政客的这些行为？日本核污水排海有哪些连锁反应新浪新闻的微博投票;19;1753;1772;9387;0.18877170555022904
