评论属地,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总平均值
上海,-0.6322817995710184,-0.5151312297001645,-0.0937415452386911,-0.5847067702021849,0.07553978080141466,-0.35006431278212885
云南,-0.2643703321551103,-0.2726679792020328,0.06377723844899759,-0.21977946621191954,-0.8538618387885655,-0.3093804755817261
其他,-0.297967524383967,-0.27595040338805,-0.28708408855011536,-0.30551209905237786,-0.33511887845418004,-0.3003265987657381
内蒙古,0.0,-0.19297103342110955,-0.6371604111529007,-0.4051061134021024,0.0,-0.2470475115952225
北京,-0.15119812947605887,-0.24713470259642398,-0.39958913046357375,-0.12639981556730825,-0.6726926599879367,-0.3194028876182603
台湾,0.0,-0.40753178067060275,-0.37534509566970325,-0.34216210460267815,0.0,-0.22500779618859684
吉林,0.32588354124122465,-0.2666886271822928,-0.16587575429476015,0.01829621932310299,0.0,-0.017676924182545063
四川,-0.13069215722058125,-0.2608787510364534,-0.20002319539434654,0.028451063862489745,-0.5178382159234345,-0.21619625114246518
天津,0.0,-0.20524985677836743,-0.47581345408147435,-0.7739961526420363,-0.9918244783323231,-0.4893767883668403
宁夏,0.0,-0.5260111482052232,-0.31776572066275444,-0.4936274253735986,0.0,-0.26748085884831524
安徽,-0.9008863670916072,-0.2824088863454087,-0.278483034097272,-0.7659328234624242,-0.2643123756000837,-0.49840469731935916
山东,0.0938828269811891,-0.233627029751535,-0.49438033944352544,-0.5189973652877043,0.0,-0.23062438150031514
山西,-0.9964743052883229,-0.1732690885265613,-0.2668649723784903,-0.6623841362489145,-0.8504484294674296,-0.5898881863819436
广东,-0.3519393342179134,-0.3383626089027889,-0.21825796426025026,-0.18876002133776423,-0.30496994059966054,-0.2804579738636755
广西,0.3913043478260869,-0.19806103521873297,-0.2955833924235858,-0.5042194797541621,0.0,-0.1213119119140788
新疆,0.0,-0.33811659364215907,-0.27385030967388296,-0.3057534517687865,-0.8919300428839014,-0.361930079593746
江苏,-0.32886288272653785,-0.26290681404265487,-0.3850849423776114,-0.49592136645612506,-0.2944936921524757,-0.353453939551081
江西,0.0,-0.1966283731984663,-0.5820468950101716,-0.33425952117367996,0.0,-0.22258695787646357
河北,0.0,-0.2526485314719856,-0.690304414237228,-0.6462799147908862,-0.09421877419255942,-0.33669032693853185
河南,-0.21511727463325347,-0.30164411003137404,-0.3122224110213532,0.0,-0.754409929602161,-0.31667874505762833
浙江,-0.8354724387043537,-0.21605563224546262,-0.23823261873162116,-0.645754482439019,-0.6997815788481017,-0.5270593501937116
海南,-0.6188375861256648,-0.31343502974376963,-0.4652256266145145,-0.8821147749527121,0.0,-0.45592260348733216
海外,-0.6375867094945331,-0.26922476632782616,-0.11634465961511142,-0.4100885489528234,-0.8349851325896054,-0.4536459633959799
湖北,-0.9255995617093811,-0.24355827000436855,-0.31583535726273476,-0.390447060345798,-0.9560666055445365,-0.5663013709733639
湖南,0.06142336181527741,-0.2588660893966886,-0.15512116881802968,-0.9252394141443485,-0.9247816984806836,-0.44051700180489456
澳门,0.0,0.0,-0.606299445743378,0.0,0.0,-0.12125988914867561
甘肃,0.0,-0.2586147632925475,-0.7373912115368698,0.0,0.0,-0.19920119496588345
福建,-0.9819408335165496,-0.2797587286499215,-0.2631353049209048,-0.520081080595346,0.0,-0.40898318953654444
西藏,0.0,-0.863847678311038,0.0,-0.8461610432404723,0.0,-0.34200174431030206
贵州,0.0,-0.22966234402175034,-0.28893067579102477,-0.5995041097832245,-0.7670367109584726,-0.3770267681108944
辽宁,-0.6205873050141675,-0.2816022835779779,-0.6771209522486135,-0.5464572563204793,-0.9999999999941571,-0.6251535594310791
重庆,-0.4942179827675057,-0.3279252492767695,-0.25305971491692525,-0.676977121014696,0.06231860669335476,-0.3379722922565084
陕西,-0.6331884669190131,-0.3175662080970112,-0.2812690698201036,-0.29257909594546094,-0.4956674341509566,-0.40405405498650904
青海,0.0,-0.8269363158285368,0.0,0.0,0.0,-0.16538726316570734
香港,0.0,-0.9340484879813004,-0.8232188857865506,-0.962745591033912,-0.605224536483365,-0.6650475002570256
黑龙江,-0.8354960788041019,0.22763389974426906,0.018767524828896934,-0.37396383456534377,-0.7548179899328568,-0.34357529574582724
