文本;群体情绪;时间
珠海一位六十二岁的老人在街上开着車乱撞人，造成了几十名无辜人的死亡事件，造成了社会的严重不安全因素。说来真是，社会在处理和对待任何一件事情上都要认真调查研究，处理公证合理，不然“兔也会飞起来乱咬人的。”;4.155444133471377e-06;2024-11-15 17:11:14
昨天在服装店听店员讨论珠海那个撞人的渣滓，又是老一套的说他报复社会是因为离婚。我的白眼止不住翻。果然是上面编下面信;0.0002875798320685254;--------
北京司法中国日报财联社新闻央视新闻调查财新网新华社中国日报周星星永久禁言珠海一男子驾车撞人致死;0.0007942906546730351;2024-11-15 15:49:42
珠海汽车撞人致死伤;0.0001878210206165236;2024-11-15 15:46:00
中国日报新华社财新网央视新闻调查财联社新闻北京司法珠海一男子驾车撞人致死雷军承认车间睡觉照是摆拍;-0.0009795252234787559;2024-11-15 16:30:48
北京司法财联社新闻今日说法央视新闻调查财新网中国日报新华社雷军承认车间睡觉照是摆拍珠海一男子驾车撞人致死;4.932934247803828e-06;2024-11-15 18:11:30
新华社中国日报财新网央视新闻调查今日说法财联社新闻北京司法珠海一男子驾车撞人致死;0.0010824182925190534;2024-11-15 16:56:08
看到有人评论说，不要大规模新闻报道，珠海驾车撞人事件以免有人跟风操作那咋还大规模报道美国枪击案事件呢;6.199576113226852e-05;--------
我测，刚刚翻我之前的微博，发现珠海撞人相关的新闻都删了，我第一个是转的人民日报的啊，人民日报发的那个蓝底白字的通告，都没了;0.0006026009852967481;2024-11-15 17:23:30
最高检对珠海驾车撞人案表态最高检明确珠海冲撞行人案从重从严追责月日，最高人民检察院党组书记、检察长应勇率最高检调研组，围绕履行检察职能，促进社会矛盾纠纷防范化解，维护社会稳定等工作，深入上海市检察机关调研。;-8.269603043257486e-05;2024-11-15 14:59:35
老殇批真的恐怖，现在满大街听到的都是同情珠海那个撞人男的，反正就是变着法子说他真可怜;-0.00011498983588385446;2024-11-15 14:55:24
珠海撞人事件续死者多为参加徒步团的中老年人；涉事车辆为越野车宽近米，嫌犯事发前一天提车；珠海各区暂停广场舞等集体活动;0.00010321476403923466;2024-11-15 14:59:12
发布了头条文章：《珠海撞人恶性事件，能否通过自动驾驶避免？》;-0.00016444973226429396;2024-11-15 14:59:02
珠海一男子驾车撞人致死这个词条怎么不显示？难道是太恐怖了怕人慌乱？;-0.0001091649517242507;2024-11-15 18:07:51
珠海撞人事件后，防撞障碍值得关注了，这有个相当有趣的视频，太巧合了空警世界的微博视频;-9.553235631402346e-06;--------
聊到珠海恶性撞人案，男同事说要撞怎么不撞前妻撞法官，然后用乐呵呵的语气说“法官们要多锻炼”，翻了个白眼拿着我的杯进办公室干活了。;3.2577908923991454e-05;2024-11-15 14:59:35
我正在听能力有限播客的《珠海撞人血案的背后，究竟恶在何处？》，分享给你听听网页链接（小宇宙播客）;-2.5085388811844918e-05;2024-11-15 14:55:24
北京司法财新网央视新闻调查中国日报财联社新闻今日说法新华社珠海一男子驾车撞人致死名强奸未成年人罪犯被执行死刑;-0.004004661233303443;2024-11-15 14:59:12
新华社今日说法财联社新闻中国日报央视新闻调查财新网北京司法珠海一男子驾车撞人致死名强奸未成年人罪犯被执行死刑;-0.00045010860314467034;2024-11-15 14:59:02
中国日报今日说法央视新闻调查名强奸未成年人罪犯被执行死刑珠海一男子驾车撞人致死;1.7005959876849226e-05;2024-11-15 10:26:13
中国日报新华社中国日报财联社新闻今日说法珠海一男子驾车撞人致死名强奸未成年人罪犯被执行死刑;-0.0007916655851280283;2024-11-15 14:06:24
央视新闻调查财新网新华社中国日报北京司法新华社名强奸未成年人罪犯被执行死刑珠海一男子驾车撞人致死;-0.0020680989540450634;--------
珠海撞人案，怎么严罚都无法弥补死刑前能先让人轮殴吗？？恐怕今后离婚更难了;0.00011064869344067076;2024-11-15 17:01:52
生活手记昨晚我俩湖边散步时，聊起珠海撞人老头，我说“我要先走你一定要再找一个哈，一个人生活太熬人了”“你走了肯定我都多了还找什么找？我就养养猫，种种花，做做饭，玩玩游戏过日子可以了”“对了，你也闲不了，还要早送晚接小孙子”“怎么又是我？还是你去吧”我是肯定不干的展开;0.0011056540870849703;2024-11-15 16:29:57
珠海一男子驾车撞人致人死亡是被压下来了吗？什么信息都看不到搜都搜不出来;0.0017301092647664918;2024-11-15 12:16:47
珠海一男子驾车撞人致死纯纯报复社会上次珠海这么火还是港珠澳大桥通车吧死吗男的;-8.77862410723588e-05;2024-11-15 15:21:25
灵灵看世界：依法严惩珠海驾车撞人凶手要依法公正办事，依法严惩犯罪，让老百姓有获得感、幸福感、安全感。严惩驾车撞人者守护生命安全微博时事珠海超话灵灵看世界的微博视频;0.00047795695946769554;2024-11-15 20:52:26
珠海发生驾车冲撞市民重大恶性案件泽亨律师王江魁：珠海撞人司机或将面临最严厉制裁，被判死刑事件回顾年月日时分许，珠海发生一起驾车冲撞市民重大恶性案件。截至日，该案件已经导致了人死亡，人受伤。事件发生后，司机樊某（男，岁）已被警方控制。目前，广东已经展开;0.0004894275602977521;--------
李子柒身份证改名李子柒三更李子柒非遗工作站成立了这个风水师继昨天马后炮分析了珠海撞人事件之后，今天终于对李子柒下手了;-0.0002156363519741852;2024-11-15 10:31:03
珠海一男子驾车撞人致死我才知道这也太恐怖了吧;0.001760132014714458;2024-11-15 15:46:27
讲真在抛开珠海这个事之前我就感觉那种车撞人的事件越来越频发了每天健完身会骑大概分钟路程去地铁站耳机也不开降噪了随时保持警惕能反应跳车躲到一边的心态现在更;0.00032593733537767175;--------
各种议论纷纷。都是莫衷一是。教练员紧张的哆嗦，怎能一个劲让队员松弛？南无阿弥陀佛。许纪霖珠海驾车撞人事件的背后，弦绷得太紧了，要给人们以松弛感展开;0.00024254693325653561;2024-11-15 10:30:45
珠海一男子驾车撞人致死建议女性不要结婚，免得男的犯错又要归结到女性身上。;-0.000531080506777366;--------
我滴妈呀，珠海撞人事件也太吓人了;0.00017866022659502023;2024-11-15 07:48:00
珠海驾车撞人事件死伤泥国辉的微博视频;-0.000309454582619332;--------
珠海一男子驾车撞人致死微博就这样子。。。;-0.0001641646569708084;2024-11-15 00:35:46
珠海撞人这个事情我想起成都来福士旁边今年那个迈巴赫完全没有后续了;0.00047732350292258946;2024-11-15 18:53:01
珠海一男子驾车撞人致死无论什么原因都不是他杀死这么多无辜的人的原因，难道每个人因为不如意就要报复社会？;-0.00038630277193302807;--------
珠海驾车撞人事件的背后：弦崩得太紧了，要给人们以松弛感珠海事件网页链接;0.0011619156939845039;2024-11-14 20:29:38
昨天珠海一男子驾车恶意撞人，致人死亡，人受伤这是珠海市民自发连夜献血，血站排起了长队历史这些事啊的微博视频珠海一男子驾车撞人致死;0.00032431051827014264;--------
珠海一男子驾车撞人致死湖南省人民医院及其相关力量继续作秀，拖着不处理问题，它们在赌它们不会上新闻长沙紫光阁湖南省政府门户网站人民日报长安街知事长沙天心;0.00010869530837352942;2024-11-14 20:28:16
我的天，刚刚才知道珠海撞人事件，这个世界怎么了;0.00046190173549749333;2024-11-14 19:02:18
珠海一男子驾车撞人致死转扩;0.004390282275919955;2024-11-14 19:01:05
广州一小区多只宠物狗接连死亡没有动物保护法的国家不配有工作犬这是人对动物的剥削再加上珠海撞人事件狗永远是狗人不一定做人;0.0010018849166292959;--------
珠海一男子驾车撞人致死请问和前妻的关系是？无中生女差不多得了;0.0;2024-11-14 20:39:11
珠海一男子驾车撞人致死太恐怖了。。。为什么要向无关之人发泄自己的怒火;0.0002559644863537697;--------
珠海恶性撞人事件说明，媒体已经死了。;-0.0003477718109711641;2024-11-15 10:19:54
珠海撞人原因我不想知道这种恶魔的心路历程，我也不想知道这种活鬼所谓的“悲惨”过往，这种无差别攻击，拖无辜人下水的垃圾，我只想看他游街示众，千刀万剐，挫骨扬灰，永堕地狱;-0.00041556873658308685;--------
中国日报新华社财新网财联社新闻央视新闻调查珠海一男子驾车撞人致死;-0.003501295834610728;2024-11-15 10:16:06
今日说法央视新闻调查北京司法财新网新华社财联社新闻中国日报珠海一男子驾车撞人致死;-0.0019281191734433472;2024-11-14 20:52:02
中国日报财联社新闻新华社财新网北京司法央视新闻调查今日说法珠海一男子驾车撞人致死;-0.0003781836496070619;2024-11-14 23:56:41
央视新闻调查北京司法财新网新华社中国日报财联社新闻珠海一男子驾车撞人致死;-0.0026458844368046656;2024-11-15 21:03:58
大连撞人案的最终结果还没出来吗？？？珠海一男子驾车撞人致死;0.0007180256676839319;--------
中国日报新华社财联社新闻财新网北京司法央视新闻调查珠海一男子驾车撞人致死;-1.7731727617136122e-05;2024-11-14 20:03:13
我刚刚拉黑了一个男粉，因为他评论珠海撞人事件“不是因为贫穷，而是因为不公”。这话弱智的我都没法接。我问你们，哪个时代公平过？出生时就不一样，还指望以后一样。我刚刚不说了吗？阿。鲁迅写的每一句话都不过分。;0.028485993252956684;2024-11-14 14:19:07
珠海一男子驾车撞人致死不是居然话题不让显示？;-1.701007105987294e-05;2024-11-14 16:39:51
大连撞死五人被叛死邢，这个应该没有什么悬念了吧珠海汽车撞人珠海警方通报一起重大恶性案件网页链接;-0.0007069896984404229;2024-11-14 11:54:02
中国日报央视新闻调查新华社财联社新闻财新网北京司法央视新闻调查珠海一男子驾车撞人致死;-0.0031917069945132577;2024-11-14 11:42:33
珠海撞人视频我看了，惨不忍睹，太残忍了，全是尸体;-0.0002607894232854362;2024-11-15 09:14:42
北京司法财新网财联社新闻央视新闻调查新华社中国日报今日说法珠海一男子驾车撞人致死;-0.0019739094778949656;2024-11-14 19:44:39
被某些人恶意举报珠海撞人事件现场视频已被举报下架;0.0003442473175879885;2024-11-14 19:31:55
中国日报新华社央视新闻调查财联社新闻财新网北京司法珠海一男子驾车撞人致死;-2.3897792028753863e-07;2024-11-14 14:46:31
珠海一男子驾车撞人致死这是一起及其严重的刑事案件，现场必定是惨不忍睹。珠海小城，一夜风雨未眠。;0.000358152736381783;2024-11-15 20:00:03
北京司法财新网新华社中国日报财联社新闻央视新闻调查珠海一男子驾车撞人致死;-0.0009705003162875897;2024-11-14 14:56:47
珠海汽车撞人人个家庭多快够成一个村的人数了;-0.00045974094111240376;2024-11-14 17:16:50
珠海警方通报一起重大恶性案件那些为老男人辩解的，就该不打码被发出来上一个词条珠海一男子驾车撞人至人死亡已经被了;0.03901469086375803;2024-11-15 18:16:44
月日，美国驻华大使伯恩斯对珠海驾车撞人事件中遇难者家属致哀。;0.0016518414441764365;2024-11-14 11:46:03
其实前几天珠海撞人那个事事发地离我学校开车只要十分钟，出事的时候我正在外面吃麦当劳（，）我没什么话说了，我只能说，补药啊;-0.0002613644552479349;--------
珠海一男子驾车撞人致死唯一的原因就是这个人是纯坏吊，我看谁在为他找理由洗地呢;8.708875157469059e-05;2024-11-14 11:55:52
珠海警方通报男子撞人由离婚财产分割不满引发恐怕没那么简单恐怕没那么简单恐怕没那么简单不信，不信，不信。别给杀人犯找借口。;0.00012972853677281076;2024-11-14 11:53:18
珠海重大恶性案件致死珠海警方通报一起重大恶性案件珠海警方通报体育中心小车撞人;0.0031931009492856335;--------
珠海汽车撞人珠海车祸致撞人男子自残重伤医治中网友为何救他品道的微博视频;0.0017984568361837287;2024-11-14 19:53:19
珠海撞人事件光老头死刑有什么用;4.842257420350308e-05;2024-11-14 20:27:50
珠海汽车撞人丧尽天良珠海驾车撞人事件撞人男子自残救治中品道的微博视频;0.0016785597137714808;2024-11-14 19:05:35
珠海汽车撞人痛心珠海驾车撞人事件一场震惊世人的悲剧品道的微博视频;0.0019033668182944536;2024-11-15 09:30:05
珠海一男子驾车撞人致死唉逝者安息;6.686943071991572e-05;2024-11-14 19:15:05
珠海汽车撞人事件法律剖析珠海汽车撞人事件与以危险方法危害公共安全罪宝子们，珠海汽车撞人致死伤太惨痛了。肇事者可能涉及“以危险方法危害公共安全罪”。此罪侵犯公共安全，这次事件中，在公共道路撞人，威胁的是不特定行人。其客观上是实施了与放火等危险性相当的行为，像驾车撞人，危害是即展开;0.0049813236364791595;2024-11-14 19:14:32
李子柒给手工厂提建议从滞销变脱销这位网红今天上了快二十个热搜了吧？珠海引发重大伤亡的故意撞人事件，有几个热搜？这种情况下，发生同类事件的可能性是会大减还是大增呢？;0.0008099500442373449;2024-11-15 09:54:42
珠海一男子驾车撞人致死到底是谁想平息这么大的事情？？还有说风凉话的迟早报应;0.00024511458835328514;2024-11-15 09:37:52
珠海市民自发深夜排队献血给这些爱心人士点赞珠海汽车撞人严防发生极端案件调集最强专家力量尽最大努力挽救生命旅行厨男的微博视频;0.0027744719298878734;2024-11-14 21:15:40
珠海一男子驾车撞人致死深圳日本人那个也是单身失业中年男，国庆上海商场那个也是单身失业中年男我的意思是。。裂開;0.0025053641953287505;2024-11-14 19:28:09
有人要报复社会，有人要拯救社会，缝缝补补珠海汽车撞人;-0.001944509498509302;2024-11-14 19:27:53
珠海一男子驾车撞人致死天呐，又多少家庭没了。。。;0.0004768228748128445;2024-11-14 20:52:39
珠海汽车撞人有网友发现，二审法院就在体育中心边上。不知这老登有没有被救回来，继续蹲个案情的后续通报。;0.0002974886984718362;2024-11-14 19:05:21
与其评判这些女性的小缺点不如多去关注一下珠海男性撞人事件仅此一件的恶劣程度就远远大于这些所谓的珂学周雨彤等等;1.0;2024-11-15 09:52:12
珠海汽车撞人希望伤着平安逝者安息吧社会少些戾气，多些温暖;0.0007547358991090757;2024-11-14 10:31:05
珠海汽车撞人其实这几天状态并不好，很烦躁，很想鲨仁但是我看到一个博主在“珠海男子开车伤人案”中评论说，滥鲨无辜，畜生不如。我想了一下，我不想变得畜生都不如，不想做一个不考虑别人家庭的人，那还是不鲨仁吧;9.442810487383904e-05;2024-11-14 19:12:36
珠海一男子驾车撞人致死罪大恶极，枪毙都便宜他了;0.0003581211285308419;2024-11-14 21:16:34
珠海一男子驾车撞人致死我操。这是什么究极神经病啊。我靠。;-9.735280683627315e-05;2024-11-14 21:24:46
珠海汽车撞人珠海一男子驾车撞人致死珠海市民连夜排队献血;0.00560800890897712;2024-11-14 10:03:38
珠海一男子驾车撞人致死站共情大赏;-9.103729518313949e-05;--------
珠海一男子驾车撞人致死补是吧;-0.00037289733459155646;2024-11-14 10:04:05
珠海一男子驾车撞人致死摩根睁眼看世界笑亖，这叫睁眼？眼睛不但是闭着的还掩耳盗铃;-6.839938068622806e-05;2024-11-14 19:05:03
一直以为我跟亲友的关系不咋样。直到珠海撞人他们都来问我活着没;0.00011427030671176624;--------
珠海汽车撞人珠海汽车撞人致死伤，具体是什么原因，你怎么看？;0.00012569807625916672;2024-11-15 09:51:36
广东珠海发生驾车撞人重大恶性案件，珠海汽车撞人致死伤不管你的生活有多么无奈，这都不是伤害无辜的人这是多大的仇？珠海汽车撞人宅女雪球的微博视频;0.0;2024-11-14 19:04:45
珠海一男子驾车撞人致死如果真的有转世轮回就好了，希望这种人在地狱里永生永世不得超生;8.970736126857251e-05;2024-11-14 19:10:27
珠海汽车撞人坚决杜绝此类事件这搞得人人没有安全感;-0.0002622634208950627;--------
珠海汽车撞人给自己的生命赋予了罪人恶名害人害己，遗臭万年;0.0013925687728081932;2024-11-14 13:34:37
广东珠海发生驾车撞人重大恶性案件，珠海汽车撞人致死伤不管你的生活有多么无奈，这都不是伤害无辜的人这是多大的仇？珠海汽车撞人子夜笙歌落的微博视频;0.0;2024-11-14 15:14:30
珠海一男子驾车撞人致死话题不显示是什么意思？性别不给提？严重后果不给提？模模糊糊地说什么恶性案件是在干什么？糊弄大家吗？;7.958035838695487e-05;--------
珠海一男子驾车撞人致死什么时候枪决;-9.89521661385563e-06;2024-11-14 10:16:58
珠海一男子驾车撞人致死？？？？？好恶劣;3.0119669679285506e-05;2024-11-14 19:04:27
珠海汽车撞人后，市民主动自发前往血站献血，事发地点体育中心也不断有市民前去献花。珠海汽车撞人网页链接;0.0;2024-11-14 14:29:44
珠海一男子驾车撞人致死看到的一个理论，有参考性。;1.7404510642812927e-05;2024-11-14 19:09:35
珠海汽车撞人惨不忍睹;0.0035418147309273108;--------
珠海一男子驾车撞人致死真不知道说什么好畜生畜生畜生;0.0;2024-11-15 15:40:52
珠海一男子驾车撞人致死曾仕强教授的含金量仍在上升;0.00014020251070293822;2024-11-14 10:48:29
多名医疗专家已赴珠海指导救治月日据南方日报，珠海撞人案伤者救治情况披露：国家级专家团人、省内专家多名已赴珠海指导；全市家医院多名医护人员全力投入抢救工作。兰州新城事的微博视频;0.00034496712566510734;2024-11-14 15:28:06
珠海一男子驾车撞人致死有一个问题，犯人岁了，如果他的子女已经是公务员、国家人员了，他们父亲发生了这种事，他们会不会有什么影响，或者辞退，或者不能提干呢;0.00043773481214350464;2024-11-14 15:07:35
珠海一男子驾车恶意撞人，致人死亡，人受伤珠海市民自发连夜献血，血站排起了长队历史这些事啊的微博视频;0.011494811794968756;2024-11-14 12:33:29
昨天珠海一男子驾车恶意撞人，致人死亡，人受伤这是珠海市民自发连夜献血，血站排起了长队珠海一男子驾车撞人致死乔虹雨的微博视频;0.0008243835445438678;2024-11-15 15:47:52
珠海一男子驾车撞人致死我的天呢话题都不予显示了;-8.298318917627403e-05;2024-11-14 19:36:53
“勇者愤怒，抽刃向更强者；怯者愤怒，却抽刃向更弱者。”珠海一男子驾车撞人至人死亡;-0.004730420333316875;--------
