发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
不想情绪化椰;江苏;0;0;1;0;在上宏观经济学脑海里冒出主管几次和我说工作上有的是跟头让我跌（如果以我当下的思维一意孤行的话）陷入沉思耳边又响起老师的讲课声：先行经济形势严峻，疫情后消费水平下降，我有切身的体会，以往;0;213;不想情绪化椰;江苏;焦虑一下 然后我又好了[收到];2023-11-01 14:49:32;0;0.0155096057506055;0
玉名;北京;0;9;7;21;中央金融工作会议在京举行，怎么解读每五年一次的的金融会议？年月，第一次全国金融工作会议。随后每五年一次，因为疫情去年的延后到今年，不过有意思的每次开完会，次年都是股市相对困难的年份。回顾最近一次，年月，第五次全国金融工作会议召开，会议提出了多项关键举措，以进一步发展中国的金融体系。首要任务是将直接融资发展放在重要位置，以建立多层次资本市场体系，确保融资功能完备、基础制度扎实、市场监管有效，投资者的合法权益得到有效保护。所以，我们看到了最近几年上市公司数量激增，可以说这一次会议定调的加速任务执行的很好。年月底这一次，提到了“清醒看到，金融领域各种矛盾和问题相互交织、相互影响，有的还很突出，经济金融风险隐患仍然较多，金融服务实体经济的质效不高，金融乱象和腐败问题屡禁不止，金融监管和治理能力薄弱。”很明显，融资加速后遗症太猛了，必须要治理了，说白了，已经达到乱象的地步，所以规范市场是主要基调了。玉名超话;#中央金融工作会议在京举行#玉名超话;2334;蕴痕轩主;北京;转发微博;2023-11-01 08:07:52;0;0.0110429973559616;0
中国新闻网;0;0;5;4;14;中新网专访盛智文：“夜经济”让更多人看到香港经济发展潜力香港在疫情后重新激活“夜经济”，往日的“不夜城”以何种方式重新回归，香港特区政府大力推动的“夜经济”，提供了哪些形式的“夜消费”平台？又如何通过推动“夜经济”与香港饮食文化等深度融合，为香港的城市发展注入新动能？被誉为“兰桂坊之父”的香港兰桂坊集团主席盛智文近日接受中新网港澳会客厅专访时作出解答。（记者戴小橦范思忆刘轩廷罗嗣昱梁源）;#港澳会客厅#;109;今天天气真好丫123;江西;范迪塞尔[doge];2023-11-01 09:24:53;0;0.0386789000546886;0
中国新闻网;0;0;5;4;14;中新网专访盛智文：“夜经济”让更多人看到香港经济发展潜力香港在疫情后重新激活“夜经济”，往日的“不夜城”以何种方式重新回归，香港特区政府大力推动的“夜经济”，提供了哪些形式的“夜消费”平台？又如何通过推动“夜经济”与香港饮食文化等深度融合，为香港的城市发展注入新动能？被誉为“兰桂坊之父”的香港兰桂坊集团主席盛智文近日接受中新网港澳会客厅专访时作出解答。（记者戴小橦范思忆刘轩廷罗嗣昱梁源）;#港澳会客厅#;8;星尘0o0;其他;地摊文化;2023-11-01 07:30:24;0;0.0386789000546886;0
中国新闻网;0;0;5;4;14;中新网专访盛智文：“夜经济”让更多人看到香港经济发展潜力香港在疫情后重新激活“夜经济”，往日的“不夜城”以何种方式重新回归，香港特区政府大力推动的“夜经济”，提供了哪些形式的“夜消费”平台？又如何通过推动“夜经济”与香港饮食文化等深度融合，为香港的城市发展注入新动能？被誉为“兰桂坊之父”的香港兰桂坊集团主席盛智文近日接受中新网港澳会客厅专访时作出解答。（记者戴小橦范思忆刘轩廷罗嗣昱梁源）;#港澳会客厅#;993;宁静小城的夜明星;河南;[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌];2023-10-31 19:31:39;1;0.0386789000546886;0
中国新闻网;0;0;5;4;14;中新网专访盛智文：“夜经济”让更多人看到香港经济发展潜力香港在疫情后重新激活“夜经济”，往日的“不夜城”以何种方式重新回归，香港特区政府大力推动的“夜经济”，提供了哪些形式的“夜消费”平台？又如何通过推动“夜经济”与香港饮食文化等深度融合，为香港的城市发展注入新动能？被誉为“兰桂坊之父”的香港兰桂坊集团主席盛智文近日接受中新网港澳会客厅专访时作出解答。（记者戴小橦范思忆刘轩廷罗嗣昱梁源）;#港澳会客厅#;2;Eternal198912;其他;[good][good][good][good];2023-10-31 22:12:59;0;0.0386789000546886;0
霍春山;甘肃;0;0;3;11;第届广交会第三期今天在广州琶洲馆开幕了，这是疫情后的第二届广交会，这届比上届的国外客商明显增多。我公司在农产品展馆参展，来摊位洽谈生意的中东地区的客户偏多。广交会是中国经济乃至世界经济的晴雨表，看着熙熙攘攘的客流，发展经济的信心增加了很多。;0;2;佛山陶瓷厂家英子;广东;人多不;2023-11-04 19:22:37;0;0.0499536978712745;0
霍春山;甘肃;0;0;3;11;第届广交会第三期今天在广州琶洲馆开幕了，这是疫情后的第二届广交会，这届比上届的国外客商明显增多。我公司在农产品展馆参展，来摊位洽谈生意的中东地区的客户偏多。广交会是中国经济乃至世界经济的晴雨表，看着熙熙攘攘的客流，发展经济的信心增加了很多。;0;2;霍春山;甘肃;很多。;2023-11-04 20:02:27;0;0.0499536978712745;1
霍春山;甘肃;0;0;3;11;第届广交会第三期今天在广州琶洲馆开幕了，这是疫情后的第二届广交会，这届比上届的国外客商明显增多。我公司在农产品展馆参展，来摊位洽谈生意的中东地区的客户偏多。广交会是中国经济乃至世界经济的晴雨表，看着熙熙攘攘的客流，发展经济的信心增加了很多。;0;2;佛山陶瓷厂家英子;广东;[鼓掌][鼓掌][鼓掌];2023-11-04 19:22:28;2;0.0499536978712745;0
JoeJohn;上海;0;24;2;70;疫情解封后进入第二年才算真正的恢复期的，不管是经济还是股市都是第二年才有起色。投入也会明显增大的。;0;569;单云歌;黑龙江;猪瘟死了好多猪，至暗时刻到来[允悲];2023-10-31 15:44:34;0;0.045949215734248;0
JoeJohn;上海;0;24;2;70;疫情解封后进入第二年才算真正的恢复期的，不管是经济还是股市都是第二年才有起色。投入也会明显增大的。;0;569;JoeJohn;北京;再观察观察;2023-10-31 20:58:46;0;0.045949215734248;1
好股要_重仓;山东;0;0;4;40;我一直讲通胀也经常被人嘲笑但我坚持认为投资要有前瞻性而且很多时候，也不能仅仅看来确定有没有通胀大家还是要多从身边的，吃喝拉撒观察观察我主要预测错误在于，没想到疫情结束后经济表现如此的不如意也是出乎我的意料这是通胀被延迟的根本原因在中国通缩从来不需要担心通胀才是本质如果你没看懂哪说明你不懂国情跟其他大师学一句当然我可能是错的;0;101;大乱大治大A大涨;安徽;不可能会通缩，一放大水一切都涨上来了！一元一个馍变二元时，金子、房子、股票都会上涨！[作揖];2023-10-31 10:10:26;4;0.0147280167344487;0
好股要_重仓;山东;0;0;4;40;我一直讲通胀也经常被人嘲笑但我坚持认为投资要有前瞻性而且很多时候，也不能仅仅看来确定有没有通胀大家还是要多从身边的，吃喝拉撒观察观察我主要预测错误在于，没想到疫情结束后经济表现如此的不如意也是出乎我的意料这是通胀被延迟的根本原因在中国通缩从来不需要担心通胀才是本质如果你没看懂哪说明你不懂国情跟其他大师学一句当然我可能是错的;0;1134;yongjungao;宁夏;放水是主基调;2023-10-31 09:56:20;3;0.0147280167344487;0
好股要_重仓;山东;0;0;4;40;我一直讲通胀也经常被人嘲笑但我坚持认为投资要有前瞻性而且很多时候，也不能仅仅看来确定有没有通胀大家还是要多从身边的，吃喝拉撒观察观察我主要预测错误在于，没想到疫情结束后经济表现如此的不如意也是出乎我的意料这是通胀被延迟的根本原因在中国通缩从来不需要担心通胀才是本质如果你没看懂哪说明你不懂国情跟其他大师学一句当然我可能是错的;0;55;用户林富闲;其他;[good][good][good];2023-10-31 11:23:26;0;0.0147280167344487;0
乐乐娃lll;陕西;0;1;3;18;经历了疫情的洗礼，经历了疫情后各方面的不顺畅，目前各行各业逐步的向好，经济面已经见底，下来见证经济的韧性面，迎接经济的增长。迎接股市的增长。各大蓝筹，各行业龙头公司。;0;158;J爱之音_918;黑龙江;赞;2023-10-31 10:16:47;2;0.0608288448393184;0
Jevons的宏观笔记;浙江;0;3;1;13;疫情后各国央行们史无前例投放到金融市场的流动性以乘数效应急速增大，使得石油、粮食、黄金等商品价格疯狂上涨，去库进程被打断，但这也会最终加速美元泡沫的破裂，从而带动商品泡沫的破裂，使得世界经济陷入迅速倒退的危险境地。;0;143;leo____hu;新疆;方向是确定的，道路是曲折的;2023-10-30 23:08:11;0;0.0137601215231068;0
凤凰网科技;0;0;3;4;23;印尼不满电商平台上中国商品泛滥此前，印度尼西亚政府正式宣布，禁止社交媒体平台作为商品交易平台。这一举措直接冲击了平台上多万卖家和万电商内容创作者。据当地媒体报道，月日，印尼曾召开一场如何规范社交电商的会议。会上印尼智库“经济与金融发展研究所”（）建议政府修改贸易条例，并点名应对加强管制，理由是平台上“中国产品泛滥”，对当地企业“构成威胁”。这家智库的数字经济研究员表示，近年来印尼的电商产品从其他国家进口，中国产品占比尤高。但封禁电商、打击中国产品，并没有带来意想中的“实惠”。据半岛电视台报道，禁令过去近一个月后，印尼最大的纺织品市场丹纳阿邦并没有出现人流如潮的繁荣景象。相反地，与疫情期间相比，这里的客流量少了一半。（来源：环球网）;#印尼不满电商平台上中国商品泛滥#;11;界道4th;其他;环球网。。。;2023-10-30 21:49:38;1;0.0100944475451305;0
