文本;群体情绪;时间
珠海发生驾车冲撞市民重大恶性案件：35人死亡43人受伤;0.0004656641318713895;2024-11-12 12:04:34
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件 李强作出批示;0.7531192813136592;2024-11-12 11:29:23
习近平对广东珠海市驾车冲撞行人案件作出重要指示。@快手热点(O3xddgkd5fav5if9) @快手普法(O3xf8akief9qng7w) # #法律  #法治社会 #史利伟公益普法;0.0016862349619094768;2024-11-12 11:33:40
通报：珠海驾车冲撞市民重大恶性案件造成35人死亡，43人受伤;0.006131546900610476;2024-11-12 11:33:26
珠海驾车冲撞市民重大恶性案件造成35人死亡、43人受伤;0.009176171394521426;2024-11-12 15:23:44
习近平对广东珠海市驾车冲撞行人案件作出重要指示。  ;0.00664476474729366;2024-11-12 12:04:21
#珠海市驾车冲撞行人案件伤者正在全力救治，43人受伤仍在院治疗;-0.008241448960863682;2024-11-12 11:40:34
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件;1.0;2024-11-12 11:31:40
11月11日19时48分许，珠海发生一起驾车冲撞市民重大恶性案件。12日，珠海市公安局发布警情通报，案件致35人死亡，43人受伤。;0.00014693400200316569;2024-11-12 11:55:34
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤   ;0.6951072200841495;2024-11-12 15:22:45
珠海驾车冲撞市民重大恶性案件造成35人死亡，43人受伤;0.010587138193883936;2024-11-12 15:18:51
广东珠海一男子驾车撞倒多人后逃逸，警方通报：伤者已送医，涉事司机已被控制（来源：珠海市公安局香洲分局 制作：卢思露） #逃逸  #撞人  #交通  #通报;0.004316330663708369;2024-11-12 15:22:29
珠海警方通报 驾车冲撞行人案件 已造成35人死亡 43人重伤;0.0067849184365346826;2024-11-12 15:22:35
【35人死亡 43人受伤！ #珠海发生驾车冲撞市民重大恶性案件  】2024年11月11日19时48分许，珠海发生一起驾车冲撞市民重大恶性案件。12日，珠海市公安局发布警情通报，案件致35人死亡，43人受伤。（珠海市公安局）;0.018735864441842328;2024-11-12 15:20:31
广东珠海发生驾车撞人重大恶性案件，致35死43伤。;0.004345017285632357;2024-11-12 15:22:32
广东珠海发生驾车撞人重大恶性案件，致35死43伤;0.0012765384011679244;2024-11-12 15:19:12
2024年11月11日19时48分许，珠海发生一起驾车冲撞市民重大恶性案件。12日，珠海市公安局发布警情通报，案件致35人死亡，43人受伤。公安机关组织民警迅速到场，将嫌疑人樊某（男，62岁，离异）当场控制。樊某在车上持刀自残，目前仍在救治中。初步查明，案件系樊某对其离婚后财产分割结果不满而引发。 #警情通报;0.00017198261529648306;2024-11-12 15:02:56
致35死43伤！珠海通报62岁男子驾车冲撞市民重大恶性案件;0.08998064019634647;2024-11-12 14:59:10
珠海驾车冲撞市民重大恶性案件造成35人死亡43人受伤，据警方通报，初步查明，案件系樊某对其离婚后财产分割结果不满而引发。#本地民生资讯;0.0021990903369843934;2024-11-12 14:59:17
#珠海  11日晚发生驾车冲撞市民重大恶性案件：35人死亡43人受伤 #权威发布;0.00048518071278676287;2024-11-12 15:22:11
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤。;0.0009256883342326065;2024-11-12 15:25:14
11月12日据南方日报，珠海撞人案伤者救治情况披露：国家级专家团11人、省内专家30多名已赴珠海指导；全市5家医院300多名医护人员全力投入抢救工作。;0.0722954919580383;2024-11-12 15:25:11
#珠海警方通报  一起重大恶性案件 #社会新闻;0.0005424891175533195;2024-11-12 15:25:09
11月13日西安晚报来啦～ #本地新闻;0.0;2024-11-12 15:25:02
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调，全力救治伤员，依法严惩凶手，加强风险源头防控，严防发生极端案件。（来源：央视新闻）一审：王盼琛 二审：李有余 三审：潘登;0.0010924281211866203;2024-11-12 15:24:56
#珠海  一汽车冲撞行人逃逸，62岁肇事司机被警方控制！热心市民深夜排队献血;0.010212121953640779;2024-11-12 15:24:50
珠海驾车冲撞市民重大恶性案件造成35人死亡 43人受伤   #社会新闻  #老百姓关心的话题;0.0019104273919598378;2024-11-12 15:24:41
11月12日，广东珠海，珠海警方发布珠海驾车冲撞市民重大恶性案件警情通报：案件致35人死亡，43人受伤。公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明，案件系樊某对其离婚后财产分割结果不满而引发。;0.0006573465932134597;2024-11-12 15:24:38
35人死亡 43人受伤 珠海11日晚发生驾车冲撞市民重大恶性案件 #珠海  #珠海警方通报一起重大恶性案件   #珠海体育中心  #必须严惩坏人  @快手创作者中心(O3xrgtux2ehryffe) ;0.006389263222584698;2024-11-12 15:24:32
【#珠海警方通报驾车撞倒多人事件#】#珠海驾车撞人司机已被控制# 11月11日，珠海市公安局香洲分局发布警情通报;0.00012336621405146034;2024-11-12 15:24:29
广东珠海驾车撞人事件造成35人死亡43人受伤;0.0016889420970112804;--------
11月12日，警方通报珠海发生一起驾车冲撞市民重大恶性案件，致35死43伤;0.0016808260966363388;2024-11-12 12:33:10
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调，全力救治伤员，依法严惩凶手，加强风险源头防控，严防发生极端案件。（转自：央视新闻）;0.24000889344966586;2024-11-12 12:37:11
珠海驾车冲撞市民重大恶性案件造成35人死亡 43人受伤（来源：央视新闻） ;0.012377090823375859;2024-11-12 12:29:11
警方通报珠海重大恶性案件;0.0028042911148158265;2024-11-12 12:35:10
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤;0.26277847092125844;2024-11-12 12:39:21
习近平对广东珠海市驾车冲撞行人案件作出重要指示;0.0006024960158987077;2024-11-12 12:39:11
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤。 #突发事件;0.034503065379089655;2024-11-12 12:28:25
2024年11月11日19时48分许，珠海发生一起驾车冲撞市民重大恶性案件。12日，珠海市公安局发布警情通报，案件致35人死亡，43人受伤。（来源丨人民日报）;0.03158528468390902;2024-11-12 12:28:18
突发！致多人受伤！珠海发生驾车撞人逃逸事件，肇事司机已被警方控制。（来源：珠海公安，编辑：曹梓俊） #突发  #警情通报  #珠海;0.0005894262112938123;2024-11-12 12:27:21
广东珠海发生驾车撞人重大恶性案件 致35死43伤 #社会新闻  #重大案件;0.0010152570964420899;2024-11-12 12:26:19
珠海驾车冲撞市民重大恶性案件造成35人死亡 43人受伤;0.0;--------
珠海11日晚发生驾车冲撞市民重大恶性案件 35人死亡 43人受伤 #事故;0.0;2024-11-12 12:03:21
"珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤。
视频来源：央视新闻";0.001984009205344603;2024-11-12 11:47:10
2024年11月11日19时48分许，珠海发生一起驾车冲撞市民重大恶性案件。12日，珠海市公安局发布警情通报，案件致35人死亡，43人受伤。;0.00022780802510175414;2024-11-12 11:45:11
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡 43人受伤;0.004602404145813397;2024-11-12 11:43:10
警情通报：珠海驾车冲撞市民重大恶性案件造成35人死亡 43人受伤;0.015048468921983202;2024-11-12 15:14:10
珠海警方通报一起驾车冲撞市民重大恶性案件：35人死亡 ，43人受伤！;0.00011832177804888859;2024-11-12 12:05:11
