发布时间,url链接,发布者(帖子发布者),IP属地,帖子账号粉丝数,转发数,评论数,点赞数,文本,话题,一级账号粉丝数,用户名（评论用户）,评论属地,评论内容,评论时间,评论点赞数,标记（0代表一级，1代表二级）
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,一切随缘，平安幸福,,愿每个人都平安无事,2024-11-12 12:04:34,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,缘分惹的祸094,,逝者安息🙏🙏,2024-11-12 11:29:23,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,爱你的小心星,,希望大家都平安,2024-11-12 11:33:40,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,王金荣，,,沉痛默哀🕯️,2024-11-12 11:33:26,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,求一个好心态,,悼念，默哀🙏🙏🙏,2024-11-12 15:23:44,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,随缘自在，何处留言,,逝者安息，默哀🙏🙏,2024-11-12 12:04:21,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,刘艳平（小燕）,,祈求都平安无事,2024-11-12 11:40:34,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,绪宝宝。,,默哀🙏🙏 🙏 🙏 🙏 🙏,2024-11-12 11:31:40,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,心语80721,,祈求平安,2024-11-12 11:55:34,,0
2024-11-12 11:21:29,https://www.kuaishou.com/short-video/3xf2brbd56t5uw4,人民网,,13146561,,,1032043,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,习近平对广东珠海市驾车冲撞行人案件作出重要指示。,,啭身、看淡,,悼念逝者🙏,2024-11-12 15:22:45,,0
