评论属地,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总平均值
上海,-0.6322817995710184,-0.4167981934880556,-0.07064958191080972,-0.549071185127355,-0.603069284027687,-0.45437400882498513
中国,0.0,0.0,0.0,0.0,-0.9750385238354736,-0.19500770476709473
中国澳门,0.0,-0.9937149436946029,0.03958875824262975,-0.8571360175729318,-0.4942751521687472,-0.4611074710387305
中国香港,0.0,-0.6834830168662793,-0.10647955690865452,-0.2771690024687356,-0.3577624307656663,-0.28497880140186715
云南,-0.2643703321551103,-0.4112175922905359,-0.6562105770357628,-0.12072802963610016,-0.5268257393423488,-0.3958704540919716
其他,-0.21272850714850125,-0.29456317468881604,-0.31369026030242203,-0.22169384344536172,-0.36124461123913676,-0.28078407936484756
内蒙古,0.0,-0.15149665389919276,-0.9392882211663702,-0.5263786720387643,-0.9310018629753571,-0.5096330820159369
加拿大,0.0,-0.2859128380230319,0.0,-0.9831659638411021,-0.5131868441088516,-0.35645312919459715
北京,-0.15119812947605887,-0.218298159590743,-0.32244365796241786,-0.7758110831229993,-0.374814407215423,-0.3685130874735284
台湾,0.0,-0.40753178067060275,-0.37534509566970325,-0.34216210460267815,0.0,-0.22500779618859684
吉林,0.32588354124122465,-0.27658532553453385,-0.18489060477027505,-0.8402957314878724,-0.42194499808713154,-0.2795666237277176
四川,-0.13069215722058125,-0.1186945343710809,-0.9001931880676984,-0.7388285320236971,-0.5770372717154643,-0.49308913667970444
天津,0.0,-0.16422598153463466,-0.506855201509097,-0.5035277411668879,-0.49995505590595346,-0.33491279602331464
奥地利,0.0,0.0,-0.20720670131426466,-0.9750937767090846,-0.6659540574048946,-0.36965090708564874
宁夏,0.0,-0.48915731463013756,-0.37036629209335664,-0.5433169608445291,-0.9980281788032435,-0.4801737492742533
安徽,-0.9008863670916072,-0.21431599719984762,-0.4854155821706877,-0.5797406122773148,-0.49142583865980444,-0.5343568794798523
尼日利亚,0.0,0.0,0.0,-0.8137208488763912,-0.02958597966333228,-0.1686613657079447
山东,0.0938828269811891,-0.250009845692832,-0.8623313343928171,-0.8721592982010159,-0.6126060521599712,-0.5006447406930894
山西,-0.9964743052883229,-0.44409648084538045,-0.6975858148229139,-0.8603100138691939,-0.6580346063728642,-0.731300244239735
广东,-0.28155146737433073,-0.31265230700017727,-0.8380790746107412,-0.4724265150411078,-0.6491549721873708,-0.5107728672427456
广西,0.3913043478260869,-0.2883820761474031,-0.8534025252361864,-0.9866361557440785,-0.5196022313143547,-0.4513437281231871
德国,0.0,0.0,-0.936758644508872,0.30810915658138005,0.0,-0.1257298975854984
挪威,0.0,0.0,0.0,-0.9298720138831034,0.0,-0.18597440277662067
捷克,0.0,-0.7127856687738923,0.0,0.0,0.0,-0.14255713375477846
新加坡,0.0,0.0,0.48940138246413256,-0.9934345388452084,0.0,-0.10080663127621517
新疆,0.0,-0.5071781909392369,-0.8592734784151034,-0.2434382916240131,-0.570624811628976,-0.43610295452146586
新西兰,0.0,0.0,0.0,0.020315035049707886,0.0,0.0040630070099415775
日本,0.0,0.45758018810074685,-0.699411803440088,-0.36690063339861345,-0.855837346483685,-0.2929139190443279
未知,-0.49940594423088225,-0.44217334854225415,-0.449309982166422,-0.48572135872360905,-0.45815297510755937,-0.4669527217541454
江苏,-0.32886288272653785,-0.15888434709935204,-0.8239893854793904,-0.4724448322923986,-0.3843093461314837,-0.4336981587458325
江西,0.0,-0.4177951230941023,-0.7542339322548878,-0.946302050764059,-0.7455532058296861,-0.5727768623885471
河北,0.0,-0.3082392241542076,-0.8076706192377648,-0.6115635978310253,-0.5175692035899478,-0.4490085289625892
河南,-0.21511727463325347,-0.24306352832318784,-0.7480082964956972,-0.9536347143993562,-0.3179572983768382,-0.4955562224456666
泰国,0.0,0.0,0.0,0.0,-0.9999452596507612,-0.19998905193015223
浙江,-0.8354724387043537,-0.3641389783930297,-0.8007948824240468,-0.7096828247006767,-0.5580093873320617,-0.6536197023108337
海南,-0.6188375861256648,-0.6116632468861307,-0.8795446766404603,-0.11758227332294528,-0.7547986287655688,-0.5964852823481539
海外,-0.6375867094945331,-0.2699547783320223,-0.1142128540042565,-0.38250788033726746,-0.8349851325896054,-0.44784947095153693
湖北,-0.9255995617093811,-0.3564618546642589,-0.8489725387655499,-0.6223858987370884,-0.5555037826812994,-0.6617847273115155
湖南,0.06142336181527741,-0.2202254299100414,-0.9090878658293952,-0.9671640761635091,-0.4987456872625576,-0.5067599394700452
澳大利亚,0.0,-0.9895711040834356,-0.8561216784141403,0.0,-0.47812312953138303,-0.46476318240579173
澳门,0.0,0.0,-0.606299445743378,0.0,0.0,-0.12125988914867561
甘肃,0.0,-0.24479636856075507,-0.9570930010862378,-0.5740422546691398,-0.22045042414653282,-0.39927640969253314
福建,-0.9819408335165496,-0.24134492463402313,-0.6573619372673266,-0.3236248574326076,-0.46570657284057454,-0.5339958251382163
