文本;群体情绪;时间
"珠海汽车冲撞市民致35人死亡43人受伤 司机在车上持刀自残
2024 年 11 月 11 日 19 时 48 分许，在珠海市体育中心内发生了一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。该案件导致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。
公安机关组织民警迅速到场，将嫌疑人樊某（男，62 岁，离异）当场控制。案发当日，樊某驾驶小型越野车闯闸强行进入市体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。
公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。这起案件性质极其恶劣，引起了社会的广泛关注和震惊。";1.0634941121162533e-05;2024-11-14 11:09:32
"在2024年11月11日发生在珠海市体育中心的那起震惊社会的恶性案件，是一起令人痛心的悲剧。犯罪嫌疑人樊某的行为已经构成了严重的刑事犯罪。除了警方已经立案侦查的以危险方法危害公共安全罪外，还可能涉及其他刑事责任，比如故意杀人罪、故意伤害罪、故意毁坏财物罪、交通肇事罪等等。 随着案件调查的深入，检察机关将会依法对樊某提起公诉，法院将依法进行审判，相信樊某会得到应有的惩罚。
我们作为普通老百姓，在公共场所一定要时刻保持警惕，注意观察周围环境的变化。当发现有人行为异常或表现出暴力倾向时，要及时规避潜在的危险因素。万一遭遇车辆冲撞等暴力事件时，要迅速向两侧跑开躲避冲撞车辆，并及时拨打报警电话寻求帮助。
﻿#珠海市体育中心撞人事件[话题]#﻿ ﻿#珠海体育中心撞人[话题]#﻿ ﻿#珠海撞人事件[话题]#﻿";-1.159709754525845e-05;2024-11-14 12:05:23
"前天11月11日晚上十一点多个案结束后，打开手机铺面而来的报道，看到体育中心发生的驾车冲撞人重大恶性案件时那一瞬间感到非常痛心与难受，相信也有很多人都身处这样的心情之中，作为心理行业的从业者，很清楚像这样的灾难性事件发生后容易产生急性创伤性应急障碍（PTSD），如何应对它疏解它，照顾好自己和身边人，是我们可以做的事情。
希望以上几个心理小技巧可以帮助您学会如何自我安慰。
	
同时，通过本次事件，
再一次看到珠海市民万众一心，用自己的方式互相帮助，包括问候、献血和安抚等等；
也看到珠海政府和相关单位的应对速度，现场处理、及时发布警情通告、求助伤者等等。
很多瞬间都让人感动。
	
这样的事件是每一个人都不希望看到和发生的，希望我们都能万事顺遂，平平安安。
	
﻿#RIP[话题]#﻿ ﻿#情绪缓解[话题]#﻿ ﻿#PTSD[话题]#﻿";3.134947522779294e-06;2024-11-14 12:06:18
"2024年11月12日，珠海市公安局发布警情通报：2024 年 11 月 11 日 19 时 48 分许，珠海市体育中心内发生一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性事件，致35人经抢救无效死亡，43人受伤住院治疗（暂无生命危险）。国家领导人亲自指示事件处理，多家保司启动快速理赔。
针对重大安全事故人员伤亡，保险公司做为社会的稳定器，会及时站出来提供风险后果的缓解处置，一般包含：
一、快速受理报案
二、主动排查客户出险信息
三、开启理赔绿色服务通道
四、简化理赔手续
五、取消定点医院及自费药品限制
六、简化伤残认定手续
	
#珠海体育中心撞人[话题]# #快速理赔[话题]#";3.0619343751663816e-06;2024-11-14 12:19:37
"🚗珠海汽车撞人事件与以危险方法危害公共安全罪🚥
宝子们，珠海汽车撞人致35死43伤太惨痛了。肇事者可能涉及“以危险方法危害公共安全罪”。
此罪侵犯公共安全，这次事件中，在公共道路撞人，威胁的是不特定行人。其客观上是实施了与放火等危险性相当的行为，像驾车撞人，危害是即时且严重的。主体是有刑事责任能力的自然人，肇事者符合。主观为故意，不管是直接还是间接故意都在此列。
若罪名成立，因后果极其严重，肇事者大概率会面临十年以上有期徒刑、无期徒刑或死刑。
受害者要维权：
🎬收集证据。拍事故现场照片、视频，包括车辆、撞击、伤亡和环境，收集车辆碎片、血迹等物证，标记刹车痕，获取监控。找目击证人，记录其证言。
👮‍♂️配合警方和司法机关。向警方提供受害者信息和轨迹，案件进入司法程序可找律师，配合检察机关。
💴争取民事赔偿。肇事者是赔偿主体，赔偿包括医疗费、丧葬费等。联系保险公司理赔，遇问题走法律途径。可申请法律援助，刑事诉讼开始可附带民事诉讼。
😔重视心理创伤，寻求心理疏导。利用政府和社会救助资源。 #珠海汽车撞人事件[话题]# #以危险方法危害公共安全罪[话题]# #维权[话题]#";5.422978819978865e-06;2024-11-14 13:41:04
"2024 年 11 月 11 日 19 时 48 分许，广东省珠海市体育中心内发生一起犯罪嫌疑人驾车冲撞锻炼市民的重大恶性案件。嫌疑人樊某（男，62 岁，离异）驾驶小型越野车闯闸强行进入珠海市香洲区体育中心，冲撞正在体育中心内部道路锻炼的市民，驾车逃跑时被赶赴现场的公安民警当场控制。民警发现樊某在车上持刀自残，立即将其制止并送往医院救治。樊某自残致颈部等部位严重受伤后昏迷，目前仍在救治之中，暂时无法接受公安机关讯问。截至 11 月 12 日 18 时，该案件致 35 人经抢救无效死亡、43 人受伤住院治疗（暂无生命危险）。公安机关经综合现场勘查、视频监控、证人证言和电子证据等情况，初步查明，案件系樊某对其离婚后财产分割结果不满而引发。目前，公安机关对樊某涉嫌以危险方法危害公共安全罪立案侦查，并依法对樊某予以刑事拘留，案件侦办、伤员救治等善后工作正在进行中。
危险方法危害公共安全罪是指故意使用放火、决水、爆炸、投放危险物质以外的危险方法危害公共安全的行为。在这起案件中，体育中心的行人是不特定多数人，樊某驾车冲撞的行为对他们的生命安全造成了极大威胁，这种危险行为与法定的几种危险方法在危害公共安全性质上相当。根据刑法，若未造成严重后果，处三年以上十年以下有期徒刑；但此案已造成严重后果，犯罪嫌疑人可能面临十年以上有期徒刑、无期徒刑甚至死刑。法律对这种罪行的严惩，是为了保护公众的基本安全权益，维护社会秩序的稳定。
这起案件引起了中央及地方的高度重视。中共中央总书记、国家主席、中央军委主席习近平作出重要指示，强调要全力救治伤员，精心做好伤亡人员及家属安抚善后工作，要依法严惩凶手。中共中央政治局常委、国务院总理李强作出批示，指出要全力抢救伤员，稳妥做好善后，尽快查明案情并依法严惩凶手。广东省委书记黄坤明在案发后第一时间召开视频调度会和专题工作会部署伤员救治和处置调查工作。国家卫生健康委也立即派出医疗应急工作有关负责同志带领国家级专家团队赶赴珠海，指导支持当地伤员救治工作。
#广东珠海市驾车冲撞行人案件[话题]##以危险方法危害公共安全罪[话题]##刑事辩护[话题]# #成都律师[话题]#";4.844671096755145e-07;2024-11-14 14:39:51
"下面将从行为无价值和结果无价值两个角度进行分析
[一R]行为无价值
1. 行为性质：行为无价值理论主要关注的是行为本身的性质，即行为是否违反了法律所保护的规范。樊某驾车冲撞市民的行为，违反了交通法规和公共安全法规，其行为具有明显的社会危害性。
2.行为人主观恶性：行为无价值理论强调行为人的主观恶性，即行为人是否具有故意或过失。樊某的行为表明其具有故意性，他明知驾车冲撞人群会造成严重后果，却仍然实施了这一行为。
3. 作为与不作为的判断：樊某的作为（驾车冲撞市民）是明显的犯罪行为，其不作为（未采取任何措施避免伤害）也构成了犯罪的一部分，因为他有能力采取措施避免伤害却未采取。
4. 因果关系：樊某的行为与受害者的伤亡之间存在直接的因果关系。他的行为直接导致了35人死亡和43人受伤的严重后果。
[二R]结果无价值
1. 结果的严重性：结果无价值理论关注的是行为结果的严重性（法益侵害的程度）樊某的行为导致了35人死亡和43人受伤，严重侵犯了公民的生命权和健康权。
2. 违法构成要件：结果无价值理论认为，违法构成要件不包括行为人的动机，只关注行为结果。无论樊某的动机如何，其行为造成的结果都是违法的，因为他的行为导致了大量无辜人员的伤亡。
3. 作为与不作为的判断：在结果无价值理论中，樊某的作为（驾车冲撞市民）和不作为（未采取措施避免伤害）都导致了严重的后果，因此都是违法的。
4. 因果关系：樊某的行为与受害者的伤亡之间存在直接的因果关系，这一点在结果无价值理论中也是违法性的重要依据。
综合行为无价值和结果无价值两个角度，樊某的行为构成了以危险方法危害公共安全罪和故意杀人罪的想象竞合。他的行为不仅违反了行为/裁判规范，造成了极其严重的后果，而且其行为与后果之间存在直接的因果关系。因此，樊某应当承担相应的刑事责任。
	
关于刑法理论的补充，如果你不想深入挖掘背后的原理，我推荐徐光华主客一体一跟到底。毛毛老师不管你的动机目的在违法还是责任阶层 官方什么观点他给什么观点。如果讲究主观（动机目的）在违法阶层那论证过程参考柏浪涛的行为无价值；如果不讲究参考刘凤科的结果无价值。
我用三阶层分析不影响你们二阶层解题，客观不法➕违法阻却→主观责任➕违法阻却
#25法考[话题]# #法考学习打卡[话题]# #法考笔记[话题]# #刑法学习[话题]##刘凤科[话题]#";1.1569066534696078e-06;2024-11-14 15:32:36
"1.习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件 李强作出批示；
2.习近平向“全球南方”媒体智库高端论坛致贺信；
3.【锚定现代化 改革再深化】“三北”攻坚加速推进 生态屏障越筑越牢；
4.李强对推进农田水利和高标准农田建设工作作出重要批示强调 扎实提高农业综合生产和防灾减灾能力 为保障国家粮食安全奠定坚实基础；
5.李强签署国务院令 公布《国务院关于修改〈全国年节及纪念日放假办法〉的决定》；
6.丁薛祥访问新加坡并主持中新双边合作机制会议；
7.李希会见越南共产党代表团；
8.学习贯彻习近平总书记关于城市工作重要论述理论研讨会在沪举行；
9.我国工业领域设备更新加速落地；
10.长三角外贸优势持续巩固 高端制造与民营经济齐发力；
11.【文化中国行】陶寺遗址博物馆正式开馆；
12.全国政协举行仪式纪念孙中山诞辰158周年；
13.梁光烈同志逝世；
14.国内联播快讯： （1）《交通物流降本提质增效行动计划》正式发布； （2）《关于做好医保基金预付工作的通知》发布； （3）教育部等三部门部署儿童近视防控工作； （4）海关总署出台15条重点举措推动西部陆海新通道建设； （5）我国超400个综合货运枢纽加快建设； （6）涪陵页岩气田累产突破700亿立方米； （7）纪录片《人民城市的上海实践》今晚播出；
15.黎北部遭以军空袭 以军称以多地遭黎火箭弹袭击 阿拉伯—伊斯兰国家特别峰会呼吁安理会通过敦促以色列停火决议；
16.国际联播快讯： （1）俄称在多战线推进 乌称阻止俄进攻； （2）俄军舰在英吉利海峡举行防空反潜演习； （3）美军称打击叙境内与伊朗有关的目标； （4）德机构称德企业订单短缺问题持续恶化。
#时事热点[话题]# #申论素材[话题]# #新闻联播素材[话题]##新闻联播打卡[话题]#";-1.6144878862205413e-05;2024-11-14 16:09:40
"每天学一点，时政跑的远🏂
本期节目主要内容：
🇨🇳国内
1.习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件 李强作出批示；
2.习近平向“全球南方”媒体智库高端论坛致贺信；
3.【锚定现代化 改革再深化】“三北”攻坚加速推进 生态屏障越筑越牢；
4.李强对推进农田水利和高标准农田建设工作作出重要批示强调 扎实提高农业综合生产和防灾减灾能力 为保障国家粮食安全奠定坚实基础；
5.李强签署国务院令 公布《国务院关于修改〈全国年节及纪念日放假办法〉的决定》；
6.丁薛祥访问新加坡并主持中新双边合作机制会议； 7.李希会见越南共产党代表团；
8.学习贯彻习近平总书记关于城市工作重要论述理论研讨会在沪举行；
9.我国工业领域设备更新加速落地；
10.长三角外贸优势持续巩固 高端制造与民营经济齐发力；
11.【文化中国行】陶寺遗址博物馆正式开馆；
12.全国政协举行仪式纪念孙中山诞辰158周年；
13.梁光烈同志逝世；
14.国内联播快讯： （1）《交通物流降本提质增效行动计划》正式发布； （2）《关于做好医保基金预付工作的通知》发布； （3）教育部等三部门部署儿童近视防控工作； （4）海关总署出台15条重点举措推动西部陆海新通道建设； （5）我国超400个综合货运枢纽加快建设； （6）涪陵页岩气田累产突破700亿立方米； （7）纪录片《人民城市的上海实践》今晚播出；
🇷🇺🇺🇦国际
1.黎北部遭以军空袭 以军称以多地遭黎火箭弹袭击 阿拉伯—伊斯兰国家特别峰会呼吁安理会通过敦促以色列停火决议；
2.国际联播快讯： （1）俄称在多战线推进 乌称阻止俄进攻； （2）俄军舰在英吉利海峡举行防空反潜演习； （3）美军称打击叙境内与伊朗有关的目标； （4）德机构称德企业订单短缺问题持续恶化。
#新闻联播[话题]# #新闻联播素材[话题]# #时政热点[话题]# #考公考编信息差[话题]# #申论素材[话题]# #每日学习打卡[话题]# #民生新闻[话题]# #珠海撞人事件[话题]# #珠海体育中心撞人[话题]# #国考省考公务员考试[话题]# @知识薯 @热点薯";6.622243246736827e-06;2024-11-14 17:08:07
"2024年11月11日，珠海市一声巨响打破了夜空的宁静，一起驾车冲撞事件深深震撼了整个城市，政府迅速反应，展现出对人民生命安全的高度重视与责任感，也让我们看到了未来重建的希望。
紧急响应：领导的身影与温暖的承诺
事件发生后，珠海市委书记陈勇与市长黄志豪立刻赶到现场指挥救援。在混乱的人群中，他们竭尽全力为每一个受害者提供帮助，坚定地告知市民：“我们会保护你们”。
会议召开：响应迅速，部署周全
11月12日，珠海市委常委会紧急召开，传达学习习近平总书记及中央、省委领导的指示精神。会议强调优先保障人民的生命安全，全力抢救伤员，并为心理创伤的市民安排专业疏导。
深入调查与社会安全：追根溯源，防范未然
会议指出要深入查清事故原因，依法严惩凶手，揭开真相以维护社会信任。同时，政府将加强公共安全监管，排查隐患，确保此类悲剧不会重演。
结尾：责任与希望并存，向未来迈进
珠海的政府在这一悲剧中展现出强烈的责任感与“人民至上”的原则。虽然失去无法恢复，但通过实际行动，我们可以赋予每个受害者的故事更深的意义。希望未来的珠海能变得更加安全和谐，让我们共同为社会献出爱心与力量。
读者朋友们，对于这场悲剧，您有什么想说的？您认为在社会安全与公共管理上，未来还有哪些方面需要加强呢？欢迎在评论区分享您的看法。";-9.295536314603118e-06;2024-11-14 17:53:45
