文本;群体情绪;时间
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调，全力救治伤员，依法严惩凶手，加强风险源头防控，严防发生极端案件。;1.0;2024-11-12 12:07:07
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件 李强作出批示;0.013880334676025384;2024-11-12 13:45:20
最高检：依法严惩重大恶性犯罪，加强风险源头防控，全力保障人民群众生命安全和社会稳定;0.00048696338432126815;2024-11-12 12:18:51
珠海市委常委会召开会议 深入贯彻落实习近平总书记重要指示精神 以对党和人民高度负责的态度全力以赴推进处置调查各项工作 向撞人案遇害群众默哀;0.0011527333289911247;2024-11-12 12:05:35
公安部：依法严惩珠海市驾车冲撞行人案件凶手，总结推广“红枫义警”，“朝阳群众”等好经验;0.0005661777485356759;2024-11-12 12:06:09
应勇：#珠海驾车冲撞行人案件性质恶劣，要查清事实、依法惩处;0.0;2024-11-12 16:02:12
新华社消息｜习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件;0.0027173635005981454;2024-11-12 11:59:24
最高检：依法严惩重大恶性犯罪，加强风险源头防控;5.686909567967406e-05;2024-11-12 12:14:57
珠海市民深夜自发排队献血：想贡献自己的一份力量 #珠海 #献血;0.0003896551926611074;2024-11-12 11:58:14
公安部党委（扩大）会议召开 加强风险源头防控 依法严打突出犯罪 全力保障人民群众生命安全和社会稳定;0.0;2024-11-12 12:04:54
最高检检察长应勇谈珠海驾车冲撞行人案：对类似重大恶性犯罪，要从重从严追究刑事责任，有力震慑犯罪;0.00045284339727318036;2024-11-12 12:08:15
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调，全力救治伤员，依法严惩凶手，加强风险源头防控，严防发生极端案件。（来源：央视新闻）;0.0014957044813986152;2024-11-12 12:11:18
习近平对广东珠海市驾车冲撞行人案件作出重要指示强调 全力救治伤员 依法严惩凶手 加强风险源头防控 严防发生极端案件;0.0;2024-11-12 12:15:37
最高检：依法从重从严惩治重大恶性犯罪;1.4245852882383526e-06;2024-11-12 11:52:12
11月11日晚，珠海市体育中心发生一起驾车冲撞市民重大恶性案件。随后，不少市民深夜自发前往血站排队献血，来听听血站工作人员讲述感人瞬间。#珠海 #广东dou知道;0.002565463182779263;2024-11-12 11:44:15
习近平对广东珠海市驾车冲撞行人案件作出重要指示;0.0;2024-11-12 12:05:47
