评论属地,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总平均值
上海,0.0,-0.6746614679520437,-0.6119332943765141,-0.5982950203480216,-0.47122244566914484
中国,0.0,0.0,0.0,-0.9750385238354736,-0.2437596309588684
中国澳门,0.0,0.0,-0.9273645211686123,0.0,-0.23184113029215309
中国香港,0.0,0.0,-0.2771690024687356,-0.3577624307656663,-0.15873285830860046
云南,0.0,-0.8753249356979448,-0.48816321959261333,-0.9939660860375807,-0.5893635603320346
内蒙古,0.0,0.2969196129744167,-0.9508326272670812,-0.9194417640140985,-0.39333869457669074
北京,0.0,-0.41444348951891846,-0.6419642072847026,-0.4994755180551151,-0.38897080371468407
吉林,0.0,0.0,-0.16222464734188377,-0.5982269157731079,-0.19011289077874793
四川,0.0,-0.950425059507556,-0.5597645529305982,-0.7375773207291331,-0.5619417332918218
天津,0.0,0.0,-0.42745257657763286,-0.5152086527536963,-0.2356653073328323
宁夏,0.0,0.0,-0.5515985500896842,-0.9980281788032435,-0.38740668222323194
安徽,0.0,-0.7983854872363637,-0.5611099125603706,-0.6878388780045865,-0.5118335694503302
尼日利亚,0.0,0.0,-0.8137208488763912,-0.02958597966333228,-0.21082670713493087
山东,0.0,-0.3825888133073367,-0.5211593859588091,-0.5335657633339265,-0.35932849065001804
山西,0.0,-0.466713148228048,-0.6522567093206529,-0.5331116062973409,-0.4130203659615104
广东,0.0,-0.5029420354239166,-0.5650418570589942,-0.6071506467266293,-0.418783634802385
广西,0.0,-0.3437938897592069,-0.4249877204008762,-0.23511965083364703,-0.25097531524843253
德国,0.0,-0.936758644508872,0.30810915658138005,0.0,-0.157162371981873
挪威,0.0,0.0,-0.9298720138831034,0.0,-0.23246800347077584
新加坡,0.0,0.0,-0.9934345388452084,0.0,-0.2483586347113021
新疆,0.0,0.0,-0.9262272659365897,-0.3133944137217419,-0.30990541991458287
日本,0.0,0.0,-0.36690063339861345,-0.855837346483685,-0.3056844949705746
未知,-0.49074975005916066,-0.6148954271691703,-0.48610707299383693,-0.6924128301320489,-0.5710412700885542
江苏,0.0,-0.22988309533075202,-0.49112033824633455,-0.6092496757619119,-0.3325632773347496
江西,0.0,0.0,-0.7469890867874364,-0.6411687858935688,-0.34703946817025133
河北,0.0,-0.9563456631904333,-0.5106070344291772,-0.6749080367620712,-0.5354651835954205
河南,0.0,-0.8513962249235011,-0.5612370419894854,-0.8848394862628953,-0.5743681882939704
泰国,0.0,0.0,0.0,-0.9999452596507612,-0.2499863149126903
浙江,0.0,-0.6494973185154251,-0.5057307550049317,-0.5809745837443538,-0.43405066431617767
海南,0.0,0.2980220051922906,0.22943212921747247,-0.6515782379522642,-0.031031025885625285
湖北,-0.9998375025052899,-0.801269600668808,-0.6246374413466779,-0.48679887611959244,-0.728135855160092
湖南,0.0,-0.2863382892882079,-0.7877847728462234,-0.6398818018528716,-0.4285012159968257
甘肃,0.0,0.052465563615616606,-0.5740422546691398,-0.05246556361561838,-0.1435105636672854
福建,0.0,-0.9999762753853376,-0.37755805879321425,-0.708696535621826,-0.5215577174500945
美国,0.0,0.0,-0.7356898945681122,-0.1792547917026932,-0.22873617156770135
英国,0.0,-0.6051652333740334,-0.4088798317001034,0.0,-0.2535112662685342
贵州,0.0,0.0,-0.3843167040319801,-0.5814864442806326,-0.24145078707815315
越南,0.0,0.0,-0.5431575404422512,0.0,-0.1357893851105628
辽宁,0.052465563615616606,0.0,-0.3310908830462369,-0.4445985168666546,-0.18080595907431873
重庆,0.0,0.07171751246499218,-0.6391647490039102,-0.46669065132605,-0.258534471966242
陕西,0.0,-0.9712630175248738,-0.5951137096505416,-0.1703149119392645,-0.43417290977866996
青海,0.0,0.13029503917827245,0.0,0.0,0.03257375979456811
黑龙江,-0.9067859454904745,-0.647485000209294,-0.4921982173892264,-0.3976922853796772,-0.6110403621171681
