文本;群体情绪;时间
每天六十秒读懂全世界;0.0;nan
11·11珠海驾车冲撞行人案犯罪嫌疑人樊某的八字与六柱;-0.021125785707485082;--------
11月11日19时，珠海发生一起驾车冲撞市民重大恶性案件。;0.0;2024-11-13 13:26
#国内重大事件珠海市体育中心发生冲撞市民的重大恶性案件;1.0;2024-11-13 13:28
【大案要案】11·11珠海驾车冲撞行人案犯罪嫌疑人樊某的八字六柱;0.21192435834170312;2024-11-13 21:13
【天之水微语】珠海驾车撞人案的深刻反思;0.8702241783091397;2024-11-13 23:21
【重大刑事案件】珠海开车撞人者樊某的八字与六柱_六柱吧_百度贴吧;-0.28601757622176954;2024-11-13 23:23
珠海发生一起驾车冲撞市民重大恶性案件;-0.5334756647163357;2024-11-14 16:17
2024年11月13日每日早报新闻，星期三，农历甲辰年十月十;0.0;2024-11-14 17:37
2024年11月13日每日早报新闻;0.0;2024-11-13 23:22
